comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Paz Presidente,15,10,80,60,50,40,36.75,0.0
ESTE ES EL HERMANO DE EVO LARA ES EL HIJO,65,70,85,5,10,15,79.5,-1.0
Ni que estuvieras compitiendo con masista pues … hay que cuidarse de ustedes más bien porque están infiltrados de frente,70,65,90,10,15,20,78.5,-1.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
El mismo discurso de Evo Morales 😒,45,40,80,25,20,30,61.25,0.0
Tuto presidente 👆,25,20,70,50,40,30,43.75,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Tuto Presidente vamos todos 💪 unidos 💪 con Tuto Presidente con inteligencia 🇬🇭🇬🇭🇬🇭🇬🇭❤💛💚,10,5,65,70,75,60,25.75,1.0
Los Fraudulentos están en el gobierno que le apoya a Paz. Por lo tanto si gana será con Fraude. TUTO PRESIDENTE VIVA BOLIVIA L… Ver más,75,70,85,5,10,15,82.0,-1.0
ESTE TIPO SI QUE ES MÁS SONSO QUE EL EVO,80,85,90,0,5,10,89.0,-1.0
Con tuto toda la vida,15,10,70,60,55,45,34.25,0.0
"Mr. Been boliviano, digo Español.",50,55,60,20,15,25,64.5,0.0
La insentidumbre le ase dudosa su mismo pensamiento q el anterior gobernante del más lo mismo comentaba me quieren robar mi tr… Ver más,60,55,80,15,20,25,70.5,-1.0
Si gana rodrigo y lara es x que hubo fraude ya que su papa es el evo asi que debemos cuidar nuestros botos bien,70,65,85,10,15,20,77.75,-1.0
UÑA gallo Presidente Paz Desarollo Con Bolivia para Bolivia y en Bolivia suerte nis cuates ay nos vemos el 19 juaaaaa,25,20,65,55,60,50,38.0,0.0
Totalmente!!! Claro que sí lo haremos!,30,25,70,50,55,45,43.0,0.0
Claro que sí. Tuto .presidente .👍👍💯,20,15,75,55,50,40,39.25,0.0
Ahora dirás que eso te dijo el pajarito 😅🤣,45,40,65,30,25,35,57.0,0.0
Nadie quiere un Presidente inepto,55,60,70,20,15,25,68.25,-1.0
Espero la gente sea inteligente y ko vote a este delincuente mentiroso corrupto,65,70,80,10,15,20,76.75,-1.0
El burro hablando de orejas,60,65,70,15,10,20,72.5,-1.0
Aparte de joderse 8 horas vigilando que todo marche bien. Pide que se queden mas tiempo por su capricho. Éstos ya se dan por g… Ver más,55,50,75,20,25,30,65.5,0.0
Como pues.si con los q pactaste siguen en el.poder,50,45,80,25,20,35,63.0,0.0
"Claro que si ganarían con fraude, no por su capacidad y habilidad de conocimiento.",65,60,85,15,20,25,73.5,-1.0
El ladrón cree que todos son de su condición!!,60,55,75,20,15,25,69.25,-1.0
Lacra inútil incapaz,80,85,70,5,0,10,85.5,-1.0
Ridículo. Más bien hay que cuidarnos de ustedes,55,50,80,20,15,25,67.75,-1.0
Para que si ya negociaste con arce y el pdc ganará de igual forma envano la gente irá a votar es pérdida de tiempo escuchar a este vende humo,60,55,85,15,20,25,71.25,-1.0
"Ustedes alineados al masismo podrían robar las elecciones, o el partido oficialista que gracias a Dios no participa, este dulc… Ver más",65,60,90,10,15,20,76.25,-1.0
Se todos sabemos que los masistas harán fraude. Para no ir se presos,55,50,85,20,25,30,67.0,-1.0
"Terrible! Una vergüenza total. Cuál peor entre #RodrigoPaz y #EdmanLara? Ellos, al estilo de Evo y Arce, ya están azuzando a l… Ver más",70,65,90,10,15,20,78.5,-1.0
Hasta lo lloron ye estas copiando de tu jefe eres un estudiante adelantado seguro tienes un doctorado mejorando lo echo por … Ver más,60,55,75,20,15,25,69.25,-1.0
Me pregunto donde esta parado el GALLO menor 🤣🤣 este BINOMIO se hizo ver tal cual son antes de la segunda vuelta no tienen ni … Ver más,55,50,80,25,20,30,65.75,0.0
Kiko presidente.,25,20,65,55,50,40,40.0,0.0
"El municipio de Viacha no es El Alto, solo esa aclaración",35,30,60,40,35,45,47.75,0.0
"Realmente Rodrigo Paz y Lara psicópata, TUTO PRESIDENTE J.P. Velasco Vicepresidente",70,75,85,5,10,15,81.75,-1.0
Propio MASISTA salió este tipo..... Le tomo la palabra a este MASISTA y es verdad hay q cuidar el voto ya que ellos han estado… Ver más,65,60,90,15,20,25,74.25,-1.0
Voto inteligente Tuto Presidente,20,15,75,55,50,40,39.25,0.0
Rodrigo paz presidente belleza.,15,10,65,60,55,45,33.5,0.0
"Sin embargo ustedes harán su mega fraude con el EVO, disimula mosca, se hacen los ANGELITOS",70,65,90,10,15,20,78.5,-1.0
Sin vergüenza,75,80,70,5,0,10,83.25,-1.0
"Este es mitómano e incapaz, da pena.",65,70,75,15,10,20,75.5,-1.0
"El Alto dará la victoria y cuidará el voto orgánico, consecuente y patriotico desde hoy hasta el mismo día de la eleccion a la… Ver más",30,25,70,50,55,45,43.0,0.0
Tuto presidente hastanla victoria!!!!!!!,25,20,75,55,50,40,41.5,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Ya empezaron estos hijos de Evo a hablar evadas.,65,70,85,10,15,20,77.5,-1.0
DEJEN DE LLORAR .....PROPONEN COSAS ABSURDAS QUE NO PODRAN CUMPLIR ..... MENTIROSOS ESTAFADORES EMBAUCADORES ......LE MIENTEN ALA POBLACION ....,80,75,85,5,10,15,84.25,-1.0
Rodrigo paz presidente,15,10,65,60,55,45,33.5,0.0
Pobre traumado da pena 👎👎👎👎,60,65,70,15,10,20,72.5,-1.0
Mr best a havlado payaso evacopa de tarija,70,75,65,10,5,15,78.25,-1.0
Ese era el discurso de los Masis ahora este le sigue el paso que mal ehhh🤦‍♀️🤦‍♀️🤦‍♀️,55,50,80,25,20,30,65.75,0.0
Los únicos que hicieron fraude fue el MÁS está probado así que si están haciendo ruido quieren hacer mucho OJO los Socialista!!!,60,55,90,20,25,30,70.0,-1.0
El único que puede hacer fraude es Rodrigo y Lari por que están con los vistas más fraudulentos como ellos no hay jj,70,65,85,15,20,25,75.75,-1.0
Si por ahí nos roba los votos el PDC,55,50,80,25,20,30,65.75,0.0
Pueblo atentos al mega fraude que prepara tuto el boca edionda con los zánganos de la OEA....todos a la calle y darles con todo a estos ladrones,85,80,90,5,10,15,87.25,-1.0
Cual grandes mayorias diras a los del MAS,50,45,85,25,20,35,63.75,0.0
"Van a perder (PDC) por falta de propuestas, guerra sucia, plan de gobierno escrito con chat GPT y especialmente por tener un vice psicópata.",65,70,80,15,20,25,74.75,-1.0
Si los ladrones son tus amigos y socios masistas.,60,65,85,15,20,25,73.25,-1.0
Se desconfía de ustedes. No de Tuto,45,40,75,30,25,35,58.5,0.0
No sabe lo que dice ese caballerito lari lara,55,60,70,20,15,25,68.25,-1.0
PDC =MAS,50,45,85,25,20,35,63.75,0.0
"Que discurso más barato ""grandes mayorías "" populista ridículo . Me da una gran pena por mi país tener estos socialista izqui… Ver más",65,60,85,20,15,25,73.0,-1.0
Los que roban los votos y hacen fraude son ustedes,70,65,85,15,20,25,75.75,-1.0
TUTO PRESIDENTE.,20,15,75,55,45,35,40.25,0.0
POR Q HABLA ASI SI ESTA SEGURO USTED A Q TEME SI DICE Q LE APOYAN LOS BOLIVIANOS PPR Q ALARMARSE NO ENTIENDO PREOCUPESE COMO … Ver más,40,35,70,35,30,40,53.5,0.0
"Nunca imaginé que hubiera más asnos que los masistas , pero este tipo es de lo peor , con razón el evismo hace lo que quiere ,… Ver más",75,80,85,10,15,20,82.0,-1.0
Este tipo está peor q Lara 😂😂😂,55,60,70,20,15,25,68.25,-1.0
Sin duda mi voto es para capitán Lara 🗳️,20,15,65,55,50,40,37.75,0.0
TUTO PRESIDENTE... 🇧🇴,15,10,75,60,55,45,35.0,0.0
Jorge Quiroga Ramírez.🇧🇴,20,15,70,55,50,40,38.5,0.0
tuto presidente,20,15,75,55,45,35,40.25,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
El mismo modos operante del MAS..,45,40,85,25,20,30,62.0,0.0
SOLO TUTO GANAREMOS,25,20,80,50,45,35,44.25,0.0
"Es claro que Rodrigo Paz se alio con el MAS porque su actuar, su falta de coherencia y propuestas son similares al anterior presidente Evo Morales",50,45,90,30,25,35,63.0,0.0
Que desesperado está este hombre El Gran Mentiroso,60,65,75,20,15,25,71.25,-1.0
Los masistas son expertos en hacer fraude.. claro que vamos a cuidar y vigilar el voto,45,40,85,30,35,40,58.5,0.0
TUTO PRESIDENTE ❤️💛💚,15,10,75,60,55,45,35.0,0.0
"De ellos nos tenemos que cuidar, de ellos muy bien puede haber fraude, porque sus aliados, son los que ganaron siempre en base… Ver más",55,50,90,25,20,30,67.25,-1.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Sinvergüenza acaso no sabemos en. Manos de quien está el TSE?,70,75,80,15,10,20,78.5,-1.0
Para que vos no te robes el voto,60,65,75,20,15,25,71.25,-1.0
TUTO PRESIDENTE,20,15,75,55,45,35,40.25,0.0
Y a los que se queden a vigilar le vamos a dar un chicle para que se distraiga,45,40,70,30,25,35,57.75,0.0
Excelente hay que cuidar el voto por qué los fraudulentos están camuflados en el PDC. Y van a querer hacer nuevamente fraude,50,45,85,30,35,40,60.75,0.0
Este es un Evo junior parece q Lara le a estado pegando para que el inútil este hable así,70,75,80,15,10,20,78.5,-1.0
"Rodrigo PDC masistas delincuentes, además de ser p'aspako, Demagogo, resultó ser tonto, los únicos que en Bolivia hacen fraude… Ver más",85,80,90,5,10,15,87.25,-1.0
"Cuanto la paga! No nos pagan al igual que usted, sin trabajar cobra! El tiempo es oro!",65,70,75,20,15,25,73.5,-1.0
Tuto presidente!!!!!!,20,15,75,55,45,35,40.25,0.0
"Los unicos ladrones, mentirosos son rodrigomas y larilara",75,80,85,10,15,20,82.0,-1.0
Tranquilo así será le darás su tunda a Kiko en las urnas y festejará con un cafecito y con chiclesito,40,35,70,35,30,40,53.5,0.0
este recibió leche paterna para hablar tantas webadss,75,80,70,10,5,15,81.25,-1.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
Los Delincuentes son estos del Pdc y su mafia de Masistas. De esos hay q cuidar el Voto. Este Imbecil haciéndose la víctima.,80,85,90,5,10,15,87.0,-1.0
Los fraudulentos son los del pdc,55,50,85,25,20,30,66.5,-1.0
Sería el colmo si este personaje gana,50,55,75,25,20,30,64.75,0.0
Tuto presidente,20,15,75,55,45,35,40.25,0.0
