palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50
gran,persona,señor,tuto,quiroga,lastimosamente,bolivia,escogió,su,propia,inestabilidad,el,dólar,sigue,subi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,hermosas,palabras,querido,tuto,tu,don,de,persona,buena,siempre,nos,reconforta,y,nos,enorgullece,muchas,gracias,por,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,usted,hizo,lo,mejor,que,pudo,para,cambiar,bolivia,sienta,pena,por,la,gente,ignorante,que,se,dejo,convencer,por,unos,bono,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahora,nos,toca,exigir,exigir,exigir,y,exigir,lo,que,prometieron,tuto,gracias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
también,nuestro,corazón,amado,tuto,eras,nuestra,salvación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mis,respetos,sr,tuto,tuvo,muchas,ideas,para,salvar,a,nuestro,país,siga,delante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jesucristo,es,el,único,que,salva,nos,toca,trabajar,todos,juntos,y,seremos,bendecidos,eso,lo,afirmó,con,seguridad,a,dios,oran,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,muchos,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,todos,los,bolivianos,pensantes,q,queremos,esta,patria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las,personas,que,realmente,pensaron,en,un,país,libre,y,con,futuro,para,nuestros,hijos,y,para,nuestros,padres,votamos,por,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,tuto,te,seguiré,votando,una,y,mil,veces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paciencia,señor,quiroga,ud,era,nuestra,esperanza,pero,ganó,la,maldad,disfrazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,mi,también,eras,nuestra,única,esperanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi,respecto,para,usted,mi,estimado,tuto,y,q,hermosa,palabras,tú,eres,una,buena,persona,me,enorgullece,felicitarte,x,pensar,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,
querido,tuto,te,hemos,defraudado,y,nos,hemos,defraudado,no,supimos,aprovechar,todo,lo,bueno,que,podiamos,haber,logrado,contig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todo,un,caballero,merecía,ser,nuestro,presidente,dios,lo,proteja,a,usted,y,toda,su,familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excelente,persona,con,valores,humanos,eso,lo,más,importante,cosas,malas,siempre,pasan,para,bien,sólo,confiar,plenamente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ud,pudo,cambiar,el,sistema,en,nuestro,país,tuto,quirogapero,los,corruptos,siempre,están,de,por,medio,se,dejan,comprar,por,un,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las,versiones,del,mas,son,infinitas,como,las,matrioskas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganó,la,democraciaeste,es,un,entreguistas,profesional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,diré,un,hombre,preparadoculto,tenía,buenas,propuestas,perdió,la,batalla,por,culpa,de,su,vicepresidente,tenemos,arra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,todos,los,que,te,hemos,apoyado,querido,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excelente,expresidente,con,mucha,sabiduria,experiencia,y,todo,un,caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,gracias,por,todo,el,valor,fuerza,dedicación,y,amor,por,nuestro,país,así,como,tú,muchos,bolivianos,no,podemos,cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,muchos,tuto,hubo,fraude,no,podemos,permitirlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,perdió,usted,señor,quiroga,perdió,nuestra,amada,bolivia,cuando,estemos,en,el,piso,recién,despertarán,ahora,a,sufrir,las,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi,corazón,está,partido,en,mil,pedazos,cinco,años,de,hambre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,nuestra,última,oportunidad,para,sacar,al,socialismo,tirano,sitiador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lloro,de,impotencia,y,rabia,el,54,de,nuestro,país,vive,sumida,en,la,ignorancia,y,no,quiere,cambiar,le,gusta,vivir,siendo,ví,,,,,,,,,,,,,,,,,,,,,,,,,,
puede,ser,una,imagen,de,texto,que,dice,926,personas,que,reaccionaron,s,5,955,664,196,77,7,mary,luz,zc,armando,cruz,vanessa,flores,juan,david,condori,arias,gonzales,isabela,fernando,hinojosa,peredo,héctor,massi,jorge,gonzale,mishel,leonor,wilder,mq,juan,chura,jaime,revollo,vargas,edwin,calani
definitivamente,qué,dolor,mí,amada,bolivia,necesitaba,ese,estilo,de,presidente,elegante,caballero,inteligente,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,este,país,no,te,merece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
