Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
70,75,85,60,55,50,79.0
65,70,80,60,55,45,76.25
65,70,80,60,55,45,76.25
65,70,80,60,55,45,74.75
60,65,80,60,55,45,72.5
60,65,80,60,55,45,71.25
60,65,80,60,55,45,71.25
60,60,80,60,55,45,70.0
55,60,80,60,55,45,68.25
55,60,80,60,55,45,68.25
55,60,80,60,55,45,67.0
55,60,80,60,55,45,67.0
55,55,75,60,55,45,67.0
55,55,75,60,55,45,65.5
50,55,75,60,55,45,65.0
50,55,75,60,55,45,64.75
50,50,75,60,55,45,64.0
45,40,75,60,55,45,60.0
45,40,75,60,55,45,58.5
45,40,75,60,55,45,58.5
45,40,75,60,55,45,58.5
45,40,75,60,55,45,57.75
45,40,75,60,55,45,56.5
45,40,75,60,55,45,56.5
40,35,75,60,55,45,55.0
40,35,75,55,55,45,54.25
40,35,75,55,50,45,54.25
40,35,75,55,50,45,53.5
40,35,75,55,50,45,53.5
40,35,75,55,50,45,53.5
40,35,75,55,50,45,53.5
40,35,75,55,50,45,53.5
40,35,75,55,50,45,53.5
40,35,75,55,50,45,53.5
40,35,75,55,50,45,52.75
35,30,75,55,50,45,50.5
35,30,75,55,50,45,50.5
35,30,75,55,50,45,50.0
35,30,75,55,50,45,49.25
35,30,75,55,50,45,49.25
35,30,75,55,50,45,49.25
35,30,75,55,50,45,49.25
35,30,75,50,50,45,48.5
35,30,75,50,45,45,47.0
30,25,75,50,45,40,46.0
30,25,75,50,45,40,45.5
30,25,75,50,45,40,45.5
30,25,75,50,45,40,45.5
25,20,75,50,45,40,43.0
25,20,75,50,45,40,43.0
25,20,75,50,45,40,43.0
25,20,75,45,40,40,42.25
25,20,75,45,40,40,42.25
25,20,75,45,40,40,42.25
25,20,75,45,40,40,42.25
25,20,75,45,40,40,41.75
25,20,75,40,35,40,40.25
25,20,75,40,35,40,40.0
20,15,75,40,35,40,39.5
20,15,75,40,35,40,39.5
20,15,75,40,35,40,39.5
20,15,75,40,35,40,39.5
20,15,75,40,35,40,39.5
20,15,70,40,35,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,39.25
20,15,70,35,30,40,37.75
15,10,70,35,30,40,35.75
15,10,70,35,30,40,35.75
15,10,70,35,30,40,35.0
15,10,70,35,30,40,35.0
15,10,70,35,30,40,35.0
15,10,70,30,25,35,35.0
15,10,70,30,25,35,35.0
15,10,70,30,25,35,35.0
15,10,70,30,25,35,35.0
15,10,70,30,25,35,35.0
15,10,70,25,20,30,35.0
15,10,70,25,20,30,35.0
15,10,70,25,20,30,35.0
15,10,70,25,20,30,35.0
15,10,70,25,20,30,35.0
15,10,70,25,20,30,35.0
15,10,70,25,20,30,35.0
15,10,70,20,15,25,35.0
15,10,70,20,15,25,35.0
15,10,70,20,15,25,35.0
15,10,65,20,15,25,35.0
15,10,65,20,15,25,35.0
15,10,65,15,15,20,35.0
15,10,65,15,10,20,35.0
15,10,65,15,10,20,35.0
15,10,65,15,10,20,33.5
15,10,65,10,10,20,33.5
