Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
85,85,90,70,80,60,89.0
85,85,90,60,75,55,87.25
80,85,90,60,75,50,87.25
80,85,90,60,75,50,87.0
80,80,90,60,75,50,86.25
80,80,90,60,75,50,85.5
80,80,90,60,75,50,84.25
75,80,90,60,75,50,84.0
75,80,90,60,75,50,84.0
75,80,90,60,75,50,83.25
75,80,90,60,75,50,82.0
75,80,90,60,75,50,82.0
75,80,90,60,75,50,82.0
75,80,90,60,70,50,82.0
75,80,90,60,70,50,81.75
75,75,90,60,70,50,81.25
75,75,90,60,70,50,81.25
70,75,90,60,70,50,80.0
70,75,90,60,70,50,79.75
70,75,85,60,70,50,79.75
70,75,85,60,70,50,79.75
70,75,85,60,70,45,79.5
70,75,85,60,70,45,79.0
70,75,85,60,70,45,79.0
70,75,85,60,70,45,79.0
70,75,85,60,70,45,78.5
70,75,85,60,65,45,78.5
70,75,85,60,65,45,78.5
70,75,85,60,65,45,78.5
70,75,85,60,65,45,78.5
70,70,85,60,65,45,78.5
70,70,85,60,65,45,78.25
70,70,85,60,65,45,78.25
70,70,85,60,65,45,77.75
70,70,85,60,65,45,77.75
70,70,85,60,65,45,77.75
70,70,85,60,65,45,77.5
70,70,85,60,65,45,77.5
70,70,85,60,65,45,77.0
65,70,85,60,65,45,76.75
65,70,85,60,65,45,76.75
65,70,85,60,65,45,76.75
65,70,85,60,65,45,76.5
65,70,85,60,65,45,76.25
65,70,85,60,60,45,76.25
65,70,85,60,60,45,76.25
65,70,85,60,60,45,76.25
65,70,85,60,60,45,76.25
65,70,85,60,60,45,76.25
65,70,85,60,60,45,76.25
65,70,85,60,60,45,76.0
65,70,85,60,60,45,76.0
65,70,85,60,60,45,75.75
65,70,85,60,60,45,75.75
65,70,85,60,60,45,75.75
65,70,85,60,60,45,75.5
65,70,85,60,60,45,75.5
65,70,85,60,55,45,75.5
65,70,85,60,55,45,75.5
65,70,85,60,55,45,75.5
65,70,85,60,55,45,75.5
65,70,85,60,55,45,75.5
65,65,85,60,55,45,75.0
65,65,85,60,55,45,75.0
65,65,85,60,55,45,75.0
65,65,85,60,55,45,74.75
65,65,85,60,55,45,74.75
65,65,85,60,55,45,74.75
65,65,85,60,55,45,74.5
65,65,85,60,55,45,74.25
65,65,85,60,55,45,74.25
65,65,85,60,55,45,74.0
65,65,85,60,55,45,73.5
65,65,85,60,55,45,73.5
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.25
60,65,85,60,55,45,73.0
60,65,85,60,55,45,72.75
60,65,85,60,55,45,72.75
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.5
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,72.0
60,65,85,60,55,45,71.5
60,65,85,60,55,45,71.5
60,65,85,60,55,45,71.25
60,65,85,60,55,45,71.25
60,65,85,60,55,45,71.25
60,65,85,55,55,45,71.25
60,65,85,55,55,45,71.25
60,65,85,55,55,45,71.25
60,65,85,55,55,45,71.25
60,65,85,55,55,45,71.25
60,60,85,55,55,45,71.25
60,60,85,55,55,45,71.25
60,60,85,55,55,45,71.25
60,60,85,55,55,45,71.25
60,60,85,55,55,45,70.5
60,60,85,55,55,45,70.5
60,60,85,55,55,45,70.5
60,60,85,55,55,45,70.25
60,60,85,55,55,45,70.0
60,60,80,55,55,45,70.0
60,60,80,55,55,45,70.0
60,60,80,55,55,45,69.25
60,60,80,55,55,45,69.25
60,60,80,55,55,45,69.25
60,60,80,55,55,45,69.25
55,60,80,55,55,45,69.25
55,60,80,55,55,45,69.25
55,60,80,55,55,45,69.0
