comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
que bien todo el alto con tuto,20,15,75,55,50,45,38.75,0.0
Tuto Presidente de Bolivia❤️💛💚,15,10,80,60,55,45,35.75,0.0
Paz y Lara a la presidencia,15,10,65,60,55,45,33.5,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Jamás x ese maleante disfrazado solo quiere vender el litio nada más,65,70,80,15,10,20,76.25,-1.0
Jamás por este maleante,60,65,75,20,15,25,71.25,-1.0
"En El Alto fue abucheado el día de hoy viernes en Río Seco, no informan ni muestran lo que de verdad pas🤨🤨🤨🤨😐😐😐",45,40,75,30,25,35,58.5,0.0
Esa gastadera Kiko no trabaja y como tiene esa lujosa auto gente y todo el tiempo a vivido de su renta... piensen tuto es un enviado de Trump,55,50,80,25,20,30,65.75,0.0
Fueron obligados los derejentillos llunk'us,60,65,85,20,15,25,72.75,-1.0
En el alto nadie le quiere a tuto jamas sera presidente de bolivia esta soñando gggggggg,50,55,75,25,20,30,64.75,0.0
"Es con tuto !!!, si señores 👌",20,15,75,55,50,40,39.25,0.0
"Si tuto inicio su caminata desde la UPEA esta confirmando que la nefasta autoridad edil de El Alto ""eva copa"", lo esta respaldando. Entre oportunistas dándose apoyo mutuo.",55,50,85,25,20,30,66.5,-1.0
Está jente no entiende que Tuto vendió bolivia,60,65,80,20,15,25,72.0,-1.0
Tuto presidente🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,15,10,75,60,55,45,35.0,0.0
Paz y Lara presidente,15,10,65,60,55,45,33.5,0.0
Muy poca gente,35,30,70,40,35,45,49.25,0.0
Yo no estuve en hay quería hablar como vivir de renta vitalicia y como robar banco,55,50,75,25,20,30,65.0,0.0
Excelenteeeee,25,20,70,50,45,40,42.25,0.0
Si cuánto están pagando avisen para ir,45,40,70,30,25,35,57.75,0.0
Tuto presidente bendiciones,15,10,75,60,55,45,35.0,0.0
"Bendiciones Tuto,",15,10,75,60,55,45,35.0,0.0
tuto Presidente,15,10,75,60,55,45,35.0,0.0
Sigan apoyándolo por que este señor tuto eliminará el sus en las cuales de esto muchas familia de escasos recurso son atendidos por sus,40,35,80,35,30,40,55.0,0.0
Fuerza mi presidente tuto presidente,20,15,75,55,50,40,39.25,0.0
Votenlo nada nuevo,35,30,70,40,35,45,49.25,0.0
Jajajaja que chiste,40,35,65,30,25,35,54.75,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Rodrigo y capitánlara la mejor opción,15,10,65,60,55,45,33.5,0.0
Que vaya al campo no lo conocen,45,40,75,30,25,35,58.5,0.0
Queremos gente nueva no cualquier sanguinario vende patria,55,60,80,25,20,30,67.75,-1.0
Tuto Presidente,15,10,75,60,55,45,35.0,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Tuto presidente.,15,10,75,60,55,45,35.0,0.0
Tuto 👍 Presidente fuerza 💪 Tuto 👍 💪,20,15,75,55,50,40,39.25,0.0
Muy bien,25,20,70,50,45,40,42.25,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Eso tuto vamos adelante tuto presidente,20,15,75,55,50,40,39.25,0.0
👏👏👏👏 TUTO PRESIDENTE ♥️💛💚,15,10,75,60,55,45,35.0,0.0
Masituto,45,40,85,25,20,30,62.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Ese asesino se retira quien va votar por ese maleante peor aún quien lo va acompañar,70,75,80,10,15,20,79.0,-1.0
TUTO PRESIDENTE.,15,10,75,60,55,45,35.0,0.0
Todavia hay gente ciega apoyando al ladron de Tuto mas grande de Bolivia,60,65,80,20,15,25,72.0,-1.0
No voten por ese dinosaurio. 20 años a mamado del estado ahora quiere más ese mañudo,55,60,75,25,20,30,67.0,-1.0
Lo importante es que lo apoyen,25,20,70,45,40,45,43.25,0.0
Jorge Quiroga Ramírez.☘️,20,15,70,55,50,40,38.5,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
PA Q MIERDA SIRVE ESE 🤡🤡🤡🤡👍,65,70,70,10,5,15,76.75,-1.0
Carajo emputan estos amarra guatos hoy tuve que caminar largo en muletas asta la clinica por su pega de estos cabrones tanta trankadera emputan busca pegas de mrd,75,80,75,15,10,20,80.0,-1.0
chua tuto politico oportunista solo vienes cuando hay elecciones o golpes de estado sos🦇!!!!!para🇧🇴❤,60,65,80,20,15,25,72.0,-1.0
💐💐💐💐🌈🌈🌈🌈,15,10,70,55,50,45,35.75,0.0
Boten pa su tuto despues no anden quejandose,45,40,75,30,25,35,58.5,0.0
Muy bien,25,20,70,50,45,40,42.25,0.0
Tuto presidente el único antimasista,25,20,80,50,45,40,43.75,0.0
A ese in capas sigen apoyando sus llunkus,55,60,80,25,20,30,67.75,-1.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
4 pelagatos,50,55,70,25,20,30,64.0,0.0
Felicidades Alto,25,20,70,45,40,45,43.25,0.0
