Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
65,70,85,60,55,45,75.5
65,70,85,60,55,45,75.5
60,65,85,60,55,45,73.25
60,65,85,55,50,45,72.5
60,65,80,50,45,45,72.5
60,65,80,50,45,45,72.0
60,65,80,50,45,45,71.25
60,65,80,50,45,45,71.25
60,65,80,45,40,45,69.25
55,60,80,45,40,45,69.0
55,60,80,45,40,45,69.0
55,60,80,45,40,45,69.0
55,60,80,45,40,40,69.0
55,60,80,40,35,40,69.0
55,60,80,40,35,40,69.0
55,60,80,40,35,40,69.0
55,60,80,40,35,40,69.0
55,60,80,40,35,40,69.0
55,60,75,40,35,40,69.0
55,60,75,40,35,40,68.5
55,60,75,40,35,40,68.5
55,60,75,40,35,40,68.5
55,60,75,35,30,40,68.25
55,60,75,35,30,40,68.25
55,60,75,35,30,40,67.75
55,60,75,35,30,40,67.75
55,60,75,35,30,40,67.75
55,60,75,35,30,40,67.0
55,60,75,35,30,40,67.0
50,55,75,35,30,40,65.5
50,55,75,35,30,40,64.75
50,55,75,35,30,40,64.75
50,55,75,35,30,40,64.75
50,55,75,35,30,40,64.75
50,55,75,35,30,40,64.75
50,55,75,35,30,35,64.75
50,55,75,35,30,35,64.75
50,55,75,30,25,35,64.0
50,55,75,30,25,35,63.5
50,45,75,30,25,35,62.25
50,45,75,30,25,35,61.5
50,45,75,30,25,35,61.5
50,45,75,30,25,35,61.5
50,45,75,30,25,35,61.5
50,45,75,30,25,35,59.75
45,40,75,30,25,35,59.75
45,40,75,30,25,35,59.25
45,40,75,30,25,35,59.25
45,40,75,30,25,35,58.75
45,40,75,30,25,35,58.5
45,40,75,30,25,35,58.5
45,40,75,30,25,35,58.5
45,40,75,30,25,35,58.5
45,40,75,30,25,35,58.5
45,40,75,30,25,35,58.5
45,40,75,30,25,35,58.5
45,40,75,30,25,35,57.75
45,40,75,30,25,35,57.75
45,40,75,30,25,35,57.75
45,40,75,25,20,30,56.5
45,40,75,25,20,30,56.5
45,40,75,25,20,30,56.5
45,40,75,25,20,30,56.5
40,35,75,25,20,30,56.25
40,35,75,25,20,30,55.5
40,35,70,25,20,30,54.75
40,35,70,25,20,30,54.25
40,35,70,25,20,30,54.25
40,35,70,25,20,30,53.5
40,35,70,25,20,30,53.5
40,35,70,25,20,30,53.5
40,35,70,25,20,30,53.5
40,35,70,25,20,30,52.75
40,35,70,25,20,30,52.5
35,30,70,25,20,30,52.0
35,30,70,25,20,30,51.25
35,30,70,25,20,30,51.25
35,30,70,25,20,30,51.25
35,30,70,25,20,30,50.75
35,30,70,20,15,25,50.0
35,30,70,20,15,25,49.25
30,25,70,20,15,25,48.25
30,25,70,20,15,25,47.5
30,25,70,20,15,25,46.25
30,25,65,20,15,25,46.25
30,25,65,20,15,25,44.75
25,20,65,20,15,25,43.25
25,20,65,20,15,25,42.5
25,20,65,20,15,25,42.5
25,20,65,20,15,25,41.5
25,20,65,20,15,25,41.5
20,15,65,20,15,25,40.75
20,15,65,20,15,25,40.5
20,15,65,20,15,25,39.25
15,10,65,15,10,20,38.25
15,10,65,15,10,20,37.75
15,10,65,15,10,20,35.0
15,10,65,15,10,20,35.0
10,5,65,15,10,20,35.0
