palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27
capitán,lara,les,dice,sus,verdades,a,los,corruptos,,,,,,,,,,,,,,,,,,
igual,ganará,el,capitán,lara,,,,,,,,,,,,,,,,,,,,,,
firmará,después,de,las,elecciones,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,
no,quiere,no,le,rueguen,los,paceños,nos,encargamos,de,juzgar,,,,,,,,,,,,,,,,
no,es,obligatorio,firmar,,,,,,,,,,,,,,,,,,,,,,,
que,va,a,firmar,la,víbora,bocona,este,pitbull,necesita,un,bozal,,,,,,,,,,,,,,,
no,es,obligatorio,y,no,hay,ley,que,diga,obligación,,,,,,,,,,,,,,,,,
que,va,a,firmar,no,lo,hará,porque,quiere,seguir,haciendo,guerra,sucia,,,,,,,,,,,,,,
que,no,va,firmar,no,tiene,palabra,,,,,,,,,,,,,,,,,,,,
como,boliviano,de,oro,lo,hará,cuando,se,le,pegue,la,gana,a,última,hora,,,,,,,,,,,,
no,lo,hará,el,lari,,,,,,,,,,,,,,,,,,,,,,
es,con,jp,velasco,,,,,,,,,,,,,,,,,,,,,,,
no,le,da,la,gana,asi,de,simple,,,,,,,,,,,,,,,,,,,
una,firma,no,cambia,nada,sigue,la,guerra,sucia,de,tuto,hacia,su,rival,y,tuto,y,jp,firmaron,,,,,,,,
000,101,,,,,,,,,,,,,,,,,,,,,,,,,
quiere,hacerse,el,mártir,como,hacia,evo,,,,,,,,,,,,,,,,,,,,
le,emputa,firmar,ese,acuerdo,,,,,,,,,,,,,,,,,,,,,,
pero,ya,firmo,jaimito,no,jodan,,,,,,,,,,,,,,,,,,,,,
los,caballos,de,troya,deben,pedir,al,jefe,socialista,permiso,así,será,cuando,lleguen,aser,gobierno,primero,to,ban,a,c,,,,,,
para,que,firmar,si,el,quico,no,respeta,,,,,,,,,,,,,,,,,,,
ah,por,un,momento,pensé,q,decía,la,gera,sucia,,,,,,,,,,,,,,,,,
túto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,
opa,y,kewa,,,,,,,,,,,,,,,,,,,,,,,,
opa,,,,,,,,,,,,,,,,,,,,,,,,,,
no,va,a,firmar,ese,loco,es,un,cobarde,,,,,,,,,,,,,,,,,,
de,que,democracia,hablan,cuando,son,los,primeros,en,hacer,guerra,sucia,,,,,,,,,,,,,,,
es,un,pobre,resentido,conntoda,la,sociedad,,,,,,,,,,,,,,,,,,,,
es,un,vergenza,que,un,candidato,actúe,como,un,chiquillo,resentido,y,frustrado,porque,su,enamorada,lo,mandó,al,diablo,,,,,,,
ya,sabemos,quein,es,lara,un,cachorro,de,evo,murales,un,cerviente,más,de,rusia,y,de,china,,,,,,,,,
es,un,malcriado,no,respeta,ni,a,su,propia,gente,,,,,,,,,,,,,,,,,
mejor,para,qué,no,es,obligatorio,firmar,la,guerra,sucia,del,fracasado,político,de,tuto,quiroga,que,siga,nomás,ya,sabemos,por,quién,votar,,,
es,bla,bla,pienso,también,que,no,va,firmara,,,,,,,,,,,,,,,,,,
