comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg,Catg  
que bien todo el alto con tuto,20.0,15.0,75.0,55.0,50.0,45.0,38.75,0.0,
Tuto Presidente de Bolivia❤️💛💚,15.0,10.0,80.0,60.0,55.0,45.0,35.75,0.0,
Paz y Lara a la presidencia,15.0,10.0,65.0,60.0,55.0,45.0,33.5,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Jamás x ese maleante disfrazado solo quiere vender el litio nada más,65.0,70.0,80.0,15.0,10.0,20.0,76.25,-1.0,
Jamás por este maleante,60.0,65.0,75.0,20.0,15.0,25.0,71.25,-1.0,
"En El Alto fue abucheado el día de hoy viernes en Río Seco, no informan ni muestran lo que de verdad pas🤨🤨🤨🤨😐😐😐",45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Esa gastadera Kiko no trabaja y como tiene esa lujosa auto gente y todo el tiempo a vivido de su renta... piensen tuto es un enviado de Trump,55.0,50.0,80.0,25.0,20.0,30.0,65.75,0.0,
Fueron obligados los derejentillos llunk'us,60.0,65.0,85.0,20.0,15.0,25.0,72.75,-1.0,
En el alto nadie le quiere a tuto jamas sera presidente de bolivia esta soñando gggggggg,50.0,55.0,75.0,25.0,20.0,30.0,64.75,0.0,
"Es con tuto !!!, si señores 👌",20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
"Si tuto inicio su caminata desde la UPEA esta confirmando que la nefasta autoridad edil de El Alto ""eva copa"", lo esta respaldando. Entre oportunistas dándose apoyo mutuo.",55.0,50.0,85.0,25.0,20.0,30.0,66.5,-1.0,
Está jente no entiende que Tuto vendió bolivia,60.0,65.0,80.0,20.0,15.0,25.0,72.0,-1.0,
Tuto presidente🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Paz y Lara presidente,15.0,10.0,65.0,60.0,55.0,45.0,33.5,0.0,
Muy poca gente,35.0,30.0,70.0,40.0,35.0,45.0,49.25,0.0,
Yo no estuve en hay quería hablar como vivir de renta vitalicia y como robar banco,55.0,50.0,75.0,25.0,20.0,30.0,65.0,0.0,
Excelenteeeee,25.0,20.0,70.0,50.0,45.0,40.0,42.25,0.0,
Si cuánto están pagando avisen para ir,45.0,40.0,70.0,30.0,25.0,35.0,57.75,0.0,
Tuto presidente bendiciones,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
"Bendiciones Tuto,",15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
tuto Presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Sigan apoyándolo por que este señor tuto eliminará el sus en las cuales de esto muchas familia de escasos recurso son atendidos por sus,40.0,35.0,80.0,35.0,30.0,40.0,55.0,0.0,
Fuerza mi presidente tuto presidente,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Votenlo nada nuevo,35.0,30.0,70.0,40.0,35.0,45.0,49.25,0.0,
Jajajaja que chiste,40.0,35.0,65.0,30.0,25.0,35.0,54.75,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Rodrigo y capitánlara la mejor opción,15.0,10.0,65.0,60.0,55.0,45.0,33.5,0.0,
Que vaya al campo no lo conocen,45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Queremos gente nueva no cualquier sanguinario vende patria,55.0,60.0,80.0,25.0,20.0,30.0,67.75,-1.0,
Tuto Presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
TUTO PRESIDENTE,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto presidente.,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto 👍 Presidente fuerza 💪 Tuto 👍 💪,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Muy bien,25.0,20.0,70.0,50.0,45.0,40.0,42.25,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Eso tuto vamos adelante tuto presidente,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
👏👏👏👏 TUTO PRESIDENTE ♥️💛💚,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Masituto,45.0,40.0,85.0,25.0,20.0,30.0,62.0,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Ese asesino se retira quien va votar por ese maleante peor aún quien lo va acompañar,70.0,75.0,80.0,10.0,15.0,20.0,79.0,-1.0,
TUTO PRESIDENTE.,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Todavia hay gente ciega apoyando al ladron de Tuto mas grande de Bolivia,60.0,65.0,80.0,20.0,15.0,25.0,72.0,-1.0,
No voten por ese dinosaurio. 20 años a mamado del estado ahora quiere más ese mañudo,55.0,60.0,75.0,25.0,20.0,30.0,67.0,-1.0,
Lo importante es que lo apoyen,25.0,20.0,70.0,45.0,40.0,45.0,43.25,0.0,
Jorge Quiroga Ramírez.☘️,20.0,15.0,70.0,55.0,50.0,40.0,38.5,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
PA Q MIERDA SIRVE ESE 🤡🤡🤡🤡👍,65.0,70.0,70.0,10.0,5.0,15.0,76.75,-1.0,
Carajo emputan estos amarra guatos hoy tuve que caminar largo en muletas asta la clinica por su pega de estos cabrones tanta trankadera emputan busca pegas de mrd,75.0,80.0,75.0,15.0,10.0,20.0,80.0,-1.0,
chua tuto politico oportunista solo vienes cuando hay elecciones o golpes de estado sos🦇!!!!!para🇧🇴❤,60.0,65.0,80.0,20.0,15.0,25.0,72.0,-1.0,
💐💐💐💐🌈🌈🌈🌈,15.0,10.0,70.0,55.0,50.0,45.0,35.75,0.0,
Boten pa su tuto despues no anden quejandose,45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Muy bien,25.0,20.0,70.0,50.0,45.0,40.0,42.25,0.0,
Tuto presidente el único antimasista,25.0,20.0,80.0,50.0,45.0,40.0,43.75,0.0,
A ese in capas sigen apoyando sus llunkus,55.0,60.0,80.0,25.0,20.0,30.0,67.75,-1.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
4 pelagatos,50.0,55.0,70.0,25.0,20.0,30.0,64.0,0.0,
Felicidades Alto,25.0,20.0,70.0,45.0,40.0,45.0,43.25,0.0,
Lara y paz....,15.0,10.0,65.0,60.0,55.0,45.0,33.5,0.0,
Tutor presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
FUERZA SR TUTOOO!!!!,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
"Tuto presidente , hombre serio inteligente y con buenas propuestas para gobernar y sacar al país del pozo que hundieron los zurdos socialistas",25.0,20.0,80.0,55.0,50.0,45.0,41.75,0.0,
VAMOS POR TUTO PRESIDENTE,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
"Vamos TUTO, desde aqui lo acompaño, gracias EL ALTO, los considero una ciudad de gente trabajadora y lo sostengo ante cualquiera",25.0,20.0,75.0,50.0,45.0,40.0,43.0,0.0,
TUTO PRESIDENTE ❤️💛💚🇧🇴,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
"Si el Alto apoya a Tuto, sera presidente!!",25.0,20.0,75.0,50.0,45.0,40.0,43.0,0.0,
TUTO PRESIDENTE 🇧🇴🇧🇴,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
TUTO PRESIDENTE 💪🇧🇴,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto presidente!!!!,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto fue proclamado con 55 personas en el alto.,40.0,35.0,75.0,30.0,25.0,35.0,56.25,0.0,
No hay de otra porque el PDC con sus reuniones con este gobierno corrupto solo resultó ser de la linea masista que decepción por los que votaron por Lara,50.0,45.0,85.0,30.0,25.0,35.0,62.25,0.0,
Que alegría ver al pueblo acompañando al futuro Presidente 🇧🇴Tuto Quiroga,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Pero no saben que el 50% es gente pagada.,45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto presidente ❤️❤️❤️,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tutito presidente 2025 - 2050,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
TUTO SERÁ NUESTRO PRESIDENTE!!!,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Vamos vamos tuto se puede con libertad pasiencia humildad inteligencia actitud positiva llegaremos ala presidencia.,25.0,20.0,75.0,50.0,45.0,40.0,43.0,0.0,
Ya no saben ni que más decir que pena la ignorancia digan lo digan Tuto presidente 🇧🇴,40.0,35.0,75.0,30.0,25.0,35.0,56.25,0.0,
Muy poca gente 😃,35.0,30.0,70.0,40.0,35.0,45.0,49.25,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tutu Presidente si o si Rl es el elegido x todo los BOLIVIANS ESTAMOS CONTIGO PAPITI HIJO DE DIOS,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
TUTO PRESIDENTE,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Fuerza Tuto!!!,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Son poquitos no tiene gente,40.0,35.0,75.0,30.0,25.0,35.0,56.25,0.0,
TUTO PRESIDENTE,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
JAMAS POR ESE VENDE PATRIA,60.0,65.0,80.0,20.0,15.0,25.0,72.0,-1.0,
Tuto presidente,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
De payaso debe estar el tuto,50.0,55.0,70.0,25.0,20.0,30.0,64.0,0.0,
TUTO PRESIDENTE,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
"Fuerza Tuto,líbranos de los maleantes extorcionadores vividores de la política.",30.0,25.0,80.0,45.0,40.0,45.0,47.0,0.0,
"Donde mas va consentrar ese dictador aquí en el alto y cuanto va pagar para ir a ese concentración de este masacrador sepan el voto es secreto, yo no doy mi voto a los asesinos",65.0,70.0,85.0,20.0,15.0,25.0,75.0,-1.0,
Por lo menos un auto baratito no una limosina acusalo con con tu mamá kiko,55.0,60.0,70.0,25.0,20.0,30.0,66.25,-1.0,
Tuto presidente tiene mí voto y el de mi familia hizo mucho en un año de presidente miren historia viva bolivia libre y que viva la democracia,25.0,20.0,75.0,50.0,45.0,40.0,43.0,0.0,
"BOLIVIA UNIDA, TUTO PRESIDENTE Y JP VICEPRESIDENTE 🇧🇴🇧🇴🇧🇴",20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Muy pocas personas a comparacion de paz en la obelisco que estaba repleto,40.0,35.0,75.0,30.0,25.0,35.0,56.25,0.0,
"Este mentiroso que engaña a los Alteños, no es nada creíble.",55.0,60.0,80.0,25.0,20.0,30.0,67.75,-1.0,
Siiiiii Tuto presidente,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Luigi David Cuyati este cha.nch0 en bolaynas,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
Luigi David Cuyati en tonces va pedir fiado.😭😭😭,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
Luigi David Cuyati si un político te dice que no va a sacar préstamos te está mintiendo en la cara 🤣🤣 xq si lo va a hacer,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
Alvaro Cuellar Caceres exacta porque habia dicho que no iba hacer prestamos porque según plata habia si nadie roba la plata an… Ver más,90.0,85.0,5.0,20.0,10.0,5.0,74.75,-1.0,
Luigi David Cuyati estás en bolas gil,90.0,90.0,5.0,0.0,5.0,0.0,80.75,-1.0,
Joselito Tomicha Eguez ni un mástil con millones no pudo acabar 🤡🤣🤣,90.0,90.0,5.0,0.0,5.0,0.0,80.75,-1.0,
Joselito Tomicha Eguez,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
Joselito Tomicha Eguez.. Igual Vamos apoyar... Tuto es peór Cantidato Chango no lo conocen...,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
"Joselito Tomicha Eguez eso q vaya a informar, y también informe el desastre de su Gestión en la Alcaldía de Tarija..",80.0,85.0,5.0,0.0,0.0,0.0,77.75,-1.0,
"Jajajaja, se acuerdan cuando criticó a Tuto por ir a EE.UU.? Jajaja, tal cual a falta de propuestas claras, hace un copy paste… Ver más",80.0,85.0,5.0,0.0,0.0,0.0,77.75,-1.0,
Oliver Cristian Terrazas Cossío Tras los pasos del Maestro.… Ver más,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
