Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
100.0,95.0,95.0,90.0,90.0,85.0,94.25
100.0,95.0,90.0,90.0,90.0,80.0,94.25
95.0,95.0,90.0,85.0,90.0,80.0,93.5
95.0,95.0,90.0,85.0,90.0,80.0,93.5
95.0,95.0,90.0,85.0,90.0,80.0,93.0
95.0,95.0,90.0,85.0,90.0,80.0,92.5
95.0,90.0,90.0,85.0,90.0,80.0,91.5
95.0,90.0,90.0,85.0,90.0,80.0,91.5
90.0,90.0,90.0,85.0,90.0,80.0,91.5
90.0,90.0,90.0,85.0,90.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
90.0,90.0,90.0,85.0,85.0,80.0,91.5
