comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Soy colla paceño y JP me representa,10,5,65,70,75,65,25.25,1
Está muy desesperado,25,20,55,40,45,35,42.5,0
Tuto presidente ❤️💛💚aunque les duela brutos de 💩🤮,75,80,70,15,10,20,79.25,-1
En tarija hay tanto racismo y no hizo nada,35,30,60,45,40,35,47.25,0
La verdad ya hasta me causa repudio escucharlo hablar...,60,55,65,25,20,15,67.25,-1
PDC MAS DE LO MISMO.,45,40,70,30,25,20,59.25,0
Masistas ya no queremos masistas....PAZ Y LARA SON MAS DE LO MISMO 💩💩💩,80,85,75,10,5,10,84.75,-1
PAZ Y LARA 💪🏿,15,10,70,60,65,55,32.25,1
"El español, ni siquiera nacido en Bolivia, paz , que discurso más barato",65,70,60,20,15,10,72.75,-1
"Racismo ?, discriminacion ?, volvimos al 2020 cuando Evo usaba el mismo discurso para llegar a la presidencia, el PDC=MAS la misma miérd, los mismos discursos y la misma gente, que desgracia para el país volver a revivir lo mismo.",70,75,80,25,20,15,76.0,-1
Paz alias el cantinflas ya entro en el juego sucio...,55,60,65,25,20,15,67.0,-1
Mas insostenible mientras los politicos estan q dijo no dijo q hizo no hizo hasta cuando debemos soportar esta situacion....,50,45,60,35,30,25,58.0,0
Paz y Lara Mucha fuerza,10,5,65,70,75,65,25.25,1
Solo eso pueden hacer para Bolivia balbucear ya perdieron x tantas mentiras,60,65,70,20,15,10,72.0,-1
"Los que más prometen unión son los peores. Provocan más separación entre collas y cambas, entre el campo y la ciudad. Ya hemos pasado eso, no se acuerdan? Con el MAS era lo mismo.",55,50,75,40,35,30,60.5,0
Y CUANDO VA PARA TARIJA,20,15,55,45,40,35,39.75,0
Para presentar su plan de trabajo que consiste en la venta de chicles y toda clase de dulce.,45,40,60,30,25,20,57.75,0
"Nadie los quiere en Cochabamba, esta mañana estaban con su cara dura en la libertador Juan de la Rosa los masistas del PDC y la gente los abucheaba al pasar, ya sabemos que PDC significa Proceso De Cambio = MASISMO",65,70,75,20,15,10,75.0,-1
No a los chicles,25,20,60,40,35,30,44.75,0
No al narco,20,15,65,45,40,35,41.25,0
Pura. Mentira,35,30,55,30,25,20,52.5,0
Y mientras el pasea...quien ocupa su lugar de trabajo?,40,35,55,35,30,25,52.75,0
"Ufff ya empezó lo del racismo y la discriminación Discurso evista. Un Ejemplo mi papa y mama son bien campesinos de esos que comen papa,chuño, mote comida de dioses dicen ello. Trabajaron durisimo muy pocas veces los vi desperdiciando dinero, en la vida hay que tener metas decian. Me siento orgullosa de ellos porque son bien campesinos nunca se sintieron menos nunca buscaron pegas políticas alguna vez apoyaron a un partido sin interés alguno sino con la esperanza de ver un cambio para el pais. El racismo solo esta en las personas que buscan una excusa para sacar provecho.",30,25,70,65,70,60,37.0,0
Tuto presidente 🤨👍🏼,15,10,70,60,65,55,32.25,1
Este medio red uno ya sabemos q es parcial con el mas,40,35,65,35,30,25,54.25,0
Que irónico de los opas ir a a una universidad,50,55,60,25,20,15,64.0,0
Su único discurso el racismo,35,30,65,35,30,25,52.0,0
Tuto presidente ❤️,10,5,70,65,70,60,28.0,1
"LOS QUE ODIAN A LOS PROFESIONALES YENDO A UNIVERSIDADES ,CON QUE FIN A DECIRLES QUE NO ESTUDIEN???",55,60,65,25,20,15,67.0,-1
TUTO PRESIDENTE 🇧🇴 👍,10,5,70,65,70,60,28.0,1
Puro masista,40,35,70,30,25,20,57.0,0
No a las historietas de chicles,25,20,60,40,35,30,44.75,0
Y para que va a las universidades si los profesionales son corruptos esta yendo a ver cuales se va a expropiar para hacer lugares de venta de chicles,55,60,65,25,20,15,67.0,-1
"Igual que su padre,se ocupó de saquear al país",65,70,60,20,15,10,72.75,-1
Que vaya a terminar sus puentes en tarija,35,30,55,40,35,30,48.5,0
Charlatan a toda maquina. Subestima a lls Bolivianos. Si gana. Es preocupante la situación económica. Esta perdido..,50,45,60,35,30,25,58.0,0
Que se puede esperar de los corruptos,45,40,65,30,25,20,58.5,0
Tuto presidente,10,5,70,65,70,60,28.0,1
Cuidar el voto,15,10,60,55,60,50,32.75,1
El chicles en Cochabamba,25,20,60,40,35,30,44.75,0
Este sujeto usa la palabra racismo igual que el pedofilo solo siembra odio,70,75,65,15,10,5,77.75,-1
PARASITO..... GANA DINERO DEL ESTADO SIN TRABAJAR,65,70,60,20,15,10,72.75,-1
Que racismo obra de los maléficos de paz y lara,55,60,65,25,20,15,67.0,-1
Y este partido PDC son Masistas camuflados corruptos.,60,65,70,20,15,10,72.0,-1
"Este imbecil ya no sabe más que decir.los únicos que discriminan y siembran odio, envidia y racismo son los zurdos.",75,80,70,15,10,5,80.75,-1
Tuto presidente de bolivia 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,10,5,70,65,70,60,28.0,1
Muy bien Rodrigo paz presidente porque el país necesita una persona que gobierne para todos,15,10,65,70,75,65,27.5,1
Demagogo incapaz,45,40,60,25,20,15,59.75,0
🫏🫏🫏 de 💩💩🤡🤡🦙🦙🦙💩🤮🤮🤮🤮,80,85,70,10,5,5,84.5,-1
"En vez de hablar de propuestas y de un plan de gobierno, necesita buscarse un enemigo, clásico discurso populista de sembrar odio al mero estilo comunista Linera. 🤡",60,65,75,30,25,20,68.75,-1
Tuto Presidente,10,5,70,65,70,60,28.0,1
La unidad Rodrigo presidente ♥️💛💚,15,10,65,70,75,65,27.5,1
Tuto presidente,10,5,70,65,70,60,28.0,1
Paz charlatán,40,35,60,30,25,20,55.5,0
TUTO PRESIDENTE,10,5,70,65,70,60,28.0,1
"No al masismo, el mismo discurso de evaristo mamani, no tiene propuesta pura falacia, demagogia y populista , no queremos comunismo tampoco socialismo viva Bolivia libre!!!",55,60,75,35,30,25,64.5,0
Vamos Rodrigo siiiiii la gente umilde trabajador honesto dicno Cochabambinos te espera seas un ejemplo carajo !!!!!,20,15,65,70,75,65,29.75,1
No te queremos,35,30,60,30,25,20,53.25,0
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴,10,5,70,65,70,60,28.0,1
Seguro fue a promocionar su emprendimiento de chicles,35,30,60,35,30,25,51.25,0
Quiero chicle!!!!,20,15,55,45,40,35,39.75,0
"Tuto y Juan Pablo Velasco deben ganar las elecciones no hay otra alternativa!!! Personas con mucha educación , cultura y bastante experiencia!! Tuto Lo demostró con hechos salvo a Bolivia 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴 una vez de la deuda externa que dejaron otros gobiernos, etc…",15,10,70,75,80,70,26.25,1
Tuto Presidente,10,5,70,65,70,60,28.0,1
Intensas reuniones en el Chapare! 🧐,25,20,65,40,35,30,45.5,0
ES TEATRO LO. QUE HACE RODRIGO. SU ACOMPAÑANTE LARA DIJO QUE PREFIERE GENTE SIN ESTUDIOS PARA GOBERNAR TRANQUILO,50,55,65,30,25,20,62.75,0
Tuto presidente,10,5,70,65,70,60,28.0,1
Para estupideces..lo único que buscan es el enfrentamiento..estos masistas ...amarra watos,60,65,70,20,15,10,72.0,-1
Rodrigo paz presidente LARA. VICE presidente,15,10,65,70,75,65,27.5,1
Lacra,45,40,60,25,20,15,59.75,0
DA ASC VERLO AL GALLO 🐓 VEND Y AL BOCOTAS LARI,55,60,65,25,20,15,67.0,-1
Noo al PDC línea de zurdos.,40,35,70,30,25,20,57.0,0
Cero propuesta !!,35,30,55,30,25,20,52.5,0
A quien le interesa este demagogo que no sabe ni responder a los periodistas no tienen un buen plan para salvar Bolivia solo improvisaciones y quiere gobernar con su partido socialista,55,60,70,30,25,20,65.75,0
"Todo lo que habla este tipo es mentira, como lo del chicle",45,40,60,30,25,20,57.75,0
Codigo revista no al racismo y después niegan haber pactado?,40,35,65,35,30,25,54.25,0
"Mismo tipo de actuar del azulino mayor,hacerse el víctima y llorar.",50,55,65,25,20,15,64.75,0
"Lo que hace Rodrigo es guerra sucia, sabiendo que ese Twitter es falso, mi voto será por el mejor Tuto presidente, aunque el Twitter sea verdad.",35,30,70,50,45,40,46.75,0
Él Racismo lo ase tu Binomió .,40,35,65,35,30,25,54.25,0
Llegó Evo,20,15,70,45,40,35,42.0,0
Allá ellos,25,20,55,40,35,30,44.0,0
"No al racismo no a la división, NO AL MENSAJE DEL PINOCHO PAZ Y NO A SUS CHICLES",45,40,65,35,30,25,56.5,0
"Desde que empezaron su campaña estos laras nunca me agrado , no tienen un contenido bien estipulado , solo se dedican a inventarse ciertas expresiones la ucla luego se lo hechan al vecino diciendo que yo no fui . Osea estos sres, son realmente más masistas que masistas",50,45,70,35,30,25,59.5,0
Tarija nadie lo quiere por flojo,40,35,60,30,25,20,55.5,0
Tuto Presidente,10,5,70,65,70,60,28.0,1
Así empezó Evo,25,20,70,40,35,30,46.25,0
No ira por terror,35,30,60,35,30,25,51.25,0
Rodrigo Mas = otro tilin,40,35,65,30,25,20,56.25,0
Y los Chicles?,20,15,55,45,40,35,39.75,0
Rodrigo presidente,15,10,65,70,75,65,27.5,1
Tuto presidente,10,5,70,65,70,60,28.0,1
como dice eso cuando antes dijo prefiero a la gente sin estudios jajjajaja,40,35,65,35,30,25,54.25,0
"Siempre destilando veneno, sembrar p cosechar odio",60,65,65,20,15,10,71.25,-1
Todo cochabamba es masista,30,25,70,35,30,25,50.5,0
"Un camba no le puede decir 11ac0 a ellos, pero ellos si pueden decir Camba, pisotear y quemar la bandera Cruceña y no es racismo. Entonces de qué racismo hablan? Del que le convienen a los masistas o qué?",50,45,75,45,40,35,56.25,0
No a los que roban como Rodrigo en su propio pueblo Tarija corrupto cobras sin trabajar plata de los Bolivianos simberguenza,65,70,60,20,15,10,72.75,-1
Que ba ganar con eso ba comer,35,30,55,35,30,25,50.5,0
Vayanse ala mierd i son loz primero en ser razista esto comunista flojonasos,75,80,70,15,10,5,80.75,-1
"Primero q deje de repartir chicles y hablé de manera coherente, pero q sea claro en sus propuestas",35,30,60,50,45,40,45.25,0
Tuto Presidente.,10,5,70,65,70,60,28.0,1
TUTO PRESIDENTE LA ÚNICA OPCIÓN PARA SALVAR BOLIVIA CON UNA PROPUESTA REAL ❤️💛💚,15,10,80,75,80,70,27.75,1
A llorar ahora,55,50,60,20,15,10,66.25,-1
JORGE TUTO QUIROGA PRESIDENTE DE BOLIVIA DIGAN LO QUE DIGAN,25,20,75,60,65,55,37.5,0
Fuerza juan Pablo eres un hombre extraordinario,10,5,65,80,85,75,21.25,1
Sigue adelante JP 💪,10,5,65,75,80,70,23.25,1
JP vicepresidente,10,5,70,70,75,65,26.0,1
Valientes para quebrar bancos ahora sale que es llorón,65,70,65,15,10,5,75.5,-1
JP VELASCO VICEPRESIDENTE 🇧🇴👍🏽🙏,10,5,70,70,75,65,26.0,1
Quien siembra cosecha 🌾,15,10,60,70,75,65,26.75,1
La única opción TUTO PRESIDENTE Siiiiiiiii,15,10,75,70,75,65,29.0,1
"Fuerza JP, falta poco.",10,5,65,75,80,70,23.25,1
Igual votaremos tuto,15,10,70,70,75,65,28.25,1
Fuerza JP!! ❤️💛💚,10,5,65,75,80,70,23.25,1
Adelante J P,10,5,65,75,80,70,23.25,1
Dios los bendiga y proteja siempre 🙏,5,0,60,85,90,80,16.25,1
Dios te proteja y sigas adelante ya estas aunos dias de que ganes las eleciones juan pablo,10,5,65,80,85,75,21.25,1
JP VAMOS ADELANTE TE APOYAMOS,15,10,70,70,75,65,28.25,1
"Deberían haber hecho este mismo show cuando Evo era presidente, si van a recordarle la vida al postulante, también recuerden q nadie decía ni hacia nada durante 20 años llenos de racismo",50,45,75,45,40,35,56.25,0
Son expertos para hacer show,45,40,65,25,20,15,60.5,0
"Sigue adelante JP, lo lograremos!!",15,10,70,70,75,65,28.25,1
El candidato de red uno,30,25,65,50,45,40,43.75,0
Dios los bendiga usteds van a ganar,10,5,65,80,85,75,21.25,1
APOYO A TUTO.,15,10,70,70,75,65,28.25,1
DIOS NOS LIBRE DE LOS MASISTAS,35,30,80,55,50,45,46.25,0
Libres siempre libres!!! Es con TUTO PRESiDENTE.,20,15,75,65,70,60,33.25,0
Dios bendiga tu vida JP,10,5,65,80,85,75,21.25,1
Vamos J P ViCE PRESIDENTE,15,10,70,70,75,65,28.25,1
Dios lo bendiga proteja cuide siempre,5,0,60,85,90,80,16.25,1
Dios los proteja de la gente mala en todo momento 🙏,10,5,65,80,85,75,21.25,1
En tu sueños infantil .,50,45,65,20,15,10,64.75,0
"JP eres un gran ser humano, fuerza ya no saben que hacer los masistas",20,15,70,65,70,60,32.5,1
"Y los mal llamados medios poniendo en primera plana al sin vergüenza racista, odiador y soberbio",70,75,75,15,10,5,79.25,-1
"Esta gente resentida,odiadora y como le están dando duro a JP por ser cruceño ,infelices como destilan odio a todo lo que sale del oriente, pero tras que se dice algo contra ellos apelan a su vendida ley",75,80,80,15,10,5,82.25,-1
JPno haga caso a los lenguas largas. Son masistas.,55,50,75,25,20,15,66.5,-1
"Inteligente , innovador , valiente, capaz, y sobre todo educado y con muchos valores..Tuto y JP presidente",15,10,70,80,85,75,24.25,1
Fuerza JP ❤️💛💚💪,10,5,65,75,80,70,23.25,1
Dios lo Bendiga y proteja siempre 🙏🏻 Juan Pablo Velasco,10,5,65,80,85,75,21.25,1
Bendiciones 🙏🙏🙏,5,0,60,85,90,80,16.25,1
Nica..... Votaría por los racistas.....,60,65,70,20,15,10,72.0,-1
Jp presidente tuto Quiroga presidente viva la libertad viva la democracia,20,15,80,70,75,65,32.0,1
Tuto cayó bajo al elegir a su vice o le hicieron pisar el palito,45,40,70,35,30,25,57.25,0
Siga adelante JP. VELASCO,10,5,65,75,80,70,23.25,1
Eso es lo que estan haciendo estos masista como hay un gran rebaño que lo apoyan cierto?,55,50,75,25,20,15,66.5,-1
Sigue adelante JP a esta gente que abla tanto de racismo déjalo que se muerdan la lengua 😛 estas cobras 🐍 ya falta poco para festejar el triunfo todo el pueblo te apoya sin contar con las ratas 🐀 y las moscas Masista,80,85,80,10,5,5,86.0,-1
"cusndo estab evo y ahora srce no se podia hacer nada porque siempre se hizo lo que a ellos les daba la gana inponian , amenazaban ,estorsionaban y por ultimo enviaban a matar y luego se hacian a las victimas ,angelitos , ovejitas sin embargo son lobos feroses raviosos y peligrosos",85,90,85,10,5,5,89.0,-1
Es puro montaje,40,35,65,25,20,15,58.25,0
Racista,65,70,70,15,10,5,76.25,-1
Donde esta el racista Edman Lara el es unico envidioso racista.,70,75,75,15,10,5,79.25,-1
SINVERGUENZA SON LOS QUE JUNTARON AL MAS,60,65,75,20,15,10,72.75,-1
Como es la guerra sucia mientras uno quiere ser triunfador,40,35,70,40,35,30,53.0,0
Dios te bendiga Juan Pablo Velasco y te proteja de esta mafia del mas,20,15,70,70,75,65,30.5,1
"Fuerza JP, futuro vicepresidente de Bolivia!!!",15,10,70,70,75,65,28.25,1
Jaja,35,30,55,30,25,20,52.5,0
Con la bendición de Dios JP,10,5,65,80,85,75,21.25,1
Bendiciones JP,5,0,60,85,90,80,16.25,1
Cómo puede ser nuestro vicepresidente un desfalcador del banco Fasil,65,70,70,20,15,10,74.25,-1
Falta poco para que se vayan,40,35,70,35,30,25,55.0,0
Vamos sigue adelante JP no haga caso a estos q quieren el mal a la gente .... todos son los masistas dolidos,60,65,75,25,20,15,70.75,-1
Racistas,65,70,70,15,10,5,76.25,-1
Fuerza señor jp,10,5,65,75,80,70,23.25,1
"Estamos orando por J.P Dios te guarde y te cubra con su dangre poderosa, NO TEMAS NI DESMAYES DIOS ESTA CONTIGO.🙏🙏🙏🙏",10,5,65,80,85,75,21.25,1
Otro rata cora quien a vaciado banco facil,70,75,70,15,10,5,78.5,-1
No estas solo JP tenes a Bolivia en apoyo 💪❤💛💚,15,10,70,70,75,65,28.25,1
"La Red Uno no deberia tener preferencia politica, yo apoyo a Tuto, pero le atacaron mucho a Lara, y cuando aparece algo de JP no dicen nada",35,30,70,55,50,45,44.75,0
ACUSALE CON TU MAMÁ,60,65,60,20,15,10,70.5,-1
DIOS LO BENDIGA Y LO PROTEJA,5,0,60,85,90,80,16.25,1
Ya no saben que hablar,35,30,65,35,30,25,52.0,0
Tuto presidente y JP vicepresidente.,15,10,70,70,75,65,28.25,1
JP.NUESTRO VICE PRESIDENTE NATO🇧🇴🇧🇴🇧🇴,15,10,70,70,75,65,28.25,1
JP vicepresidente,10,5,70,70,75,65,26.0,1
Dios té bendiga siempre JP vicepresidente,10,5,65,80,85,75,21.25,1
VAMOS JP 💪 💪💪🇧🇴🇧🇴🇧🇴,15,10,70,70,75,65,28.25,1
Tuto presidente,10,5,70,70,75,65,26.0,1
"El debate fué claro, con un candidato serio, propositivo,",20,15,65,75,80,70,27.75,1
Dios los acompañe mí Vice PDT JP,10,5,65,80,85,75,21.25,1
Ese cuate noseve ni en la pelea de perros,60,65,65,20,15,10,71.25,-1
Y con tuto,15,10,65,65,70,60,29.5,1
"Fuerza eres todo un caballero, se te ve en los ojos la clase de persona que eres , tienes la bendición de Dios el te cuida y proteje.",10,5,65,80,85,75,21.25,1
Diga lo que digan no importa,30,25,65,45,40,35,45.75,0
Llorona quejarte atu. Mama,60,65,60,20,15,10,70.5,-1
Yooooooo votaré por JP,15,10,70,70,75,65,28.25,1
Racista.,65,70,70,15,10,5,76.25,-1
Tuto presidente,10,5,70,70,75,65,26.0,1
Red uno es una miiiiiik por qué no ponen l a verdad y co siempre publican a sus bolsillos pero señores es una manera educada de decir es más gente estúpida mi Bolivia se da cuenta de los males que están haciendo,70,75,75,25,20,15,75.25,-1
JP que yo sepa nunca escucho ensultando alos masista por ejemplo ese tal Edman y Rodrigo porque todos los masista esntán con ellos,45,40,75,45,40,35,54.0,0
Tuto presidente así será,15,10,70,70,75,65,28.25,1
Tuto presidente,10,5,70,70,75,65,26.0,1
