Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
80,85,80,75,80,70,84.75
80,85,75,70,75,65,84.5
75,80,75,70,75,65,80.75
75,80,75,70,75,65,80.75
75,80,75,70,75,65,79.25
70,75,75,70,75,65,77.75
70,75,75,70,75,65,76.0
65,70,70,70,75,65,75.0
65,70,70,65,70,60,72.75
65,70,70,65,70,60,72.75
65,70,70,65,70,60,72.75
65,70,70,65,70,60,72.75
60,65,70,65,70,60,72.0
60,65,70,65,70,60,72.0
60,65,70,65,70,60,72.0
60,65,70,65,70,60,71.25
60,65,70,65,70,60,68.75
60,60,70,65,70,60,67.25
55,60,70,65,70,60,67.0
55,60,70,65,70,60,67.0
55,60,70,65,70,60,67.0
55,60,70,65,70,60,67.0
55,60,70,60,65,55,67.0
55,60,70,60,65,55,65.75
55,55,70,55,60,50,64.75
55,55,70,50,45,40,64.5
50,55,70,50,45,40,64.0
50,55,70,45,45,35,62.75
50,50,70,45,40,35,60.5
50,45,70,45,40,35,59.75
50,45,70,45,40,35,59.75
50,45,70,45,40,35,59.5
50,45,70,45,40,35,59.25
45,40,70,45,40,35,58.5
45,40,70,40,40,35,58.0
45,40,70,40,35,30,58.0
45,40,70,40,35,30,57.75
45,40,70,40,35,30,57.75
45,40,70,40,35,30,57.0
45,40,70,40,35,30,57.0
40,35,65,40,35,30,56.5
40,35,65,40,35,30,56.25
40,35,65,40,35,30,56.25
40,35,65,35,30,25,55.5
40,35,65,35,30,25,55.5
40,35,65,35,30,25,54.25
40,35,65,35,30,25,54.25
40,35,65,35,30,25,54.25
40,35,65,35,30,25,54.25
40,35,65,35,30,25,53.25
35,30,65,35,30,25,52.75
35,30,65,35,30,25,52.5
35,30,65,35,30,25,52.5
35,30,65,35,30,25,52.0
35,30,65,35,30,25,51.25
35,30,65,35,30,25,51.25
35,30,65,35,30,25,50.5
35,30,65,35,30,25,50.5
35,30,65,30,25,20,48.5
35,30,65,30,25,20,47.25
35,30,65,30,25,20,46.75
30,25,65,30,25,20,46.25
30,25,65,30,25,20,45.5
25,20,65,30,25,20,45.25
25,20,65,30,25,20,44.75
25,20,65,30,25,20,44.75
25,20,65,30,25,20,44.75
25,20,60,30,25,20,44.0
25,20,60,30,25,20,42.5
25,20,60,30,25,20,42.0
20,15,60,30,25,20,41.25
20,15,60,30,25,20,39.75
20,15,60,30,25,20,39.75
20,15,60,25,20,20,39.75
20,15,60,25,20,15,37.0
20,15,60,25,20,15,32.75
15,10,60,25,20,15,32.25
15,10,60,25,20,15,32.25
15,10,60,25,20,15,29.75
15,10,60,25,20,15,28.0
15,10,60,25,20,15,28.0
15,10,60,25,20,15,28.0
15,10,60,25,20,15,28.0
15,10,60,25,20,15,28.0
10,5,60,20,15,15,28.0
10,5,60,20,15,10,28.0
10,5,60,20,15,10,28.0
10,5,60,20,15,10,28.0
10,5,60,20,15,10,28.0
10,5,55,20,15,10,28.0
10,5,55,20,15,10,28.0
10,5,55,20,15,10,28.0
10,5,55,20,15,10,27.5
10,5,55,15,10,10,27.5
10,5,55,15,10,10,27.5
10,5,55,15,10,5,27.5
10,5,55,15,10,5,26.25
10,5,55,10,5,5,25.25
10,5,55,10,5,5,25.25
