comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
TUTO PRESIDENTE LA ÚNICA OPCIÓN PARA SALVAR BOLIVIA CON UNA PROPUESTA REAL ❤️💛💚,15,10,80,75,80,70,27.75,1
A llorar ahora,55,50,60,20,15,10,66.25,-1
JORGE TUTO QUIROGA PRESIDENTE DE BOLIVIA DIGAN LO QUE DIGAN,25,20,75,60,65,55,37.5,0
Fuerza juan Pablo eres un hombre extraordinario,10,5,65,80,85,75,21.25,1
Sigue adelante JP 💪,10,5,65,75,80,70,23.25,1
JP vicepresidente,10,5,70,70,75,65,26.0,1
Valientes para quebrar bancos ahora sale que es llorón,65,70,65,15,10,5,75.5,-1
JP VELASCO VICEPRESIDENTE 🇧🇴👍🏽🙏,10,5,70,70,75,65,26.0,1
Quien siembra cosecha 🌾,15,10,60,70,75,65,26.75,1
La única opción TUTO PRESIDENTE Siiiiiiiii,15,10,75,70,75,65,29.0,1
"Fuerza JP, falta poco.",10,5,65,75,80,70,23.25,1
Igual votaremos tuto,15,10,70,70,75,65,28.25,1
Fuerza JP!! ❤️💛💚,10,5,65,75,80,70,23.25,1
Adelante J P,10,5,65,75,80,70,23.25,1
Dios los bendiga y proteja siempre 🙏,5,0,60,85,90,80,16.25,1
Dios te proteja y sigas adelante ya estas aunos dias de que ganes las eleciones juan pablo,10,5,65,80,85,75,21.25,1
JP VAMOS ADELANTE TE APOYAMOS,15,10,70,70,75,65,28.25,1
"Deberían haber hecho este mismo show cuando Evo era presidente, si van a recordarle la vida al postulante, también recuerden q nadie decía ni hacia nada durante 20 años llenos de racismo",50,45,75,45,40,35,56.25,0
Son expertos para hacer show,45,40,65,25,20,15,60.5,0
"Sigue adelante JP, lo lograremos!!",15,10,70,70,75,65,28.25,1
El candidato de red uno,30,25,65,50,45,40,43.75,0
Dios los bendiga usteds van a ganar,10,5,65,80,85,75,21.25,1
APOYO A TUTO.,15,10,70,70,75,65,28.25,1
DIOS NOS LIBRE DE LOS MASISTAS,35,30,80,55,50,45,46.25,0
Libres siempre libres!!! Es con TUTO PRESiDENTE.,20,15,75,65,70,60,33.25,0
Dios bendiga tu vida JP,10,5,65,80,85,75,21.25,1
Vamos J P ViCE PRESIDENTE,15,10,70,70,75,65,28.25,1
Dios lo bendiga proteja cuide siempre,5,0,60,85,90,80,16.25,1
Dios los proteja de la gente mala en todo momento 🙏,10,5,65,80,85,75,21.25,1
En tu sueños infantil .,50,45,65,20,15,10,64.75,0
"JP eres un gran ser humano, fuerza ya no saben que hacer los masistas",20,15,70,65,70,60,32.5,1
"Y los mal llamados medios poniendo en primera plana al sin vergüenza racista, odiador y soberbio",70,75,75,15,10,5,79.25,-1
"Esta gente resentida,odiadora y como le están dando duro a JP por ser cruceño ,infelices como destilan odio a todo lo que sale del oriente, pero tras que se dice algo contra ellos apelan a su vendida ley",75,80,80,15,10,5,82.25,-1
JPno haga caso a los lenguas largas. Son masistas.,55,50,75,25,20,15,66.5,-1
"Inteligente , innovador , valiente, capaz, y sobre todo educado y con muchos valores..Tuto y JP presidente",15,10,70,80,85,75,24.25,1
Fuerza JP ❤️💛💚💪,10,5,65,75,80,70,23.25,1
Dios lo Bendiga y proteja siempre 🙏🏻 Juan Pablo Velasco,10,5,65,80,85,75,21.25,1
Bendiciones 🙏🙏🙏,5,0,60,85,90,80,16.25,1
Nica..... Votaría por los racistas.....,60,65,70,20,15,10,72.0,-1
Jp presidente tuto Quiroga presidente viva la libertad viva la democracia,20,15,80,70,75,65,32.0,1
Tuto cayó bajo al elegir a su vice o le hicieron pisar el palito,45,40,70,35,30,25,57.25,0
Siga adelante JP. VELASCO,10,5,65,75,80,70,23.25,1
