Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
90,90,95,90,90,85,89.75
85,85,90,85,90,80,89.0
85,85,90,85,90,80,86.75
85,85,90,85,90,80,86.75
85,85,90,85,90,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,85,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.75
85,80,90,85,80,80,86.0
80,80,90,85,80,80,86.0
80,80,90,85,80,80,84.75
80,80,90,85,80,80,84.5
80,80,85,85,80,80,84.5
80,80,85,85,80,80,84.5
80,80,85,85,80,80,84.5
80,80,85,85,80,80,84.5
80,80,85,85,80,80,84.5
80,80,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,83.75
80,75,85,85,80,80,82.25
80,75,85,80,80,80,82.25
80,75,85,80,80,75,81.5
80,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,75,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,80,75,81.5
75,70,85,80,75,75,81.5
75,70,85,80,75,75,81.5
75,70,85,80,75,75,81.25
75,70,85,80,75,75,81.25
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.75
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,80,75,75,80.5
75,70,85,75,75,75,80.5
75,70,85,75,75,70,80.5
75,70,85,75,75,70,80.5
75,70,85,75,75,70,80.5
75,70,85,75,75,70,80.25
75,70,85,75,75,70,80.0
75,70,85,75,75,70,79.75
75,70,85,75,75,70,79.75
75,70,85,75,75,70,79.75
75,70,85,75,75,70,79.75
75,70,85,75,75,70,79.25
75,70,85,75,75,70,79.25
75,70,85,75,75,70,79.25
75,70,85,75,75,70,79.25
75,70,85,75,75,70,79.25
70,70,85,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.25
70,70,80,75,75,70,79.0
70,70,80,75,75,70,78.75
70,70,80,75,75,70,78.5
70,70,80,75,75,70,78.5
70,70,80,75,75,70,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,75,65,78.5
70,70,80,70,70,65,78.5
70,70,80,70,70,65,78.5
70,70,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.5
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.25
70,65,80,70,70,65,78.0
70,65,80,70,70,60,77.75
70,65,80,70,70,60,77.75
70,65,80,70,70,60,77.75
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.5
70,65,80,70,70,60,77.0
70,65,80,70,70,60,77.0
70,65,80,70,70,60,77.0
70,65,80,70,70,60,76.75
70,65,80,70,70,60,76.5
70,65,80,70,70,60,76.5
70,65,80,70,70,60,76.25
70,65,80,70,70,60,76.25
70,65,80,65,70,60,76.25
70,65,80,65,70,60,76.25
70,65,80,65,70,60,76.25
70,65,80,65,70,60,76.25
70,65,80,65,70,60,76.25
70,65,80,65,70,60,76.25
70,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.25
65,65,80,65,70,60,76.0
65,65,80,65,70,60,76.0
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,80,65,70,60,75.5
65,65,75,65,70,60,75.5
65,65,75,65,70,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,60,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.5
65,65,75,65,65,55,75.25
65,65,75,65,65,55,75.25
65,65,75,65,65,55,75.25
65,65,75,65,65,55,75.25
65,65,75,65,65,55,75.25
65,60,75,65,65,55,75.25
65,60,75,65,65,55,75.25
65,60,75,65,65,55,75.25
65,60,75,65,65,55,75.25
65,60,75,65,65,55,75.25
65,60,75,65,65,55,75.0
65,60,75,65,65,55,75.0
65,60,75,65,65,55,75.0
65,60,75,65,65,55,75.0
65,60,75,65,65,55,75.0
65,60,75,65,65,55,75.0
65,60,75,65,60,55,75.0
65,60,75,65,60,55,74.75
65,60,75,65,60,55,74.75
65,60,75,65,60,55,74.75
65,60,75,65,60,55,74.75
65,60,75,65,60,55,74.75
65,60,75,65,60,55,74.25
65,60,75,65,60,55,74.25
65,60,75,65,60,55,74.0
65,60,75,65,60,55,74.0
65,60,75,65,60,55,74.0
65,60,75,65,60,55,74.0
65,60,75,65,60,55,74.0
65,60,75,65,60,55,73.75
65,60,75,65,60,55,73.75
65,60,75,65,60,55,73.5
65,60,75,65,60,55,73.5
65,60,75,60,60,55,73.5
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.25
65,60,75,60,60,55,73.0
60,60,75,60,60,55,73.0
60,60,75,60,60,55,73.0
60,60,75,60,60,55,73.0
60,60,75,60,60,55,73.0
60,60,75,60,60,55,73.0
60,60,75,60,60,55,72.75
60,60,75,60,60,55,72.75
60,60,75,60,60,55,72.75
60,60,75,60,60,55,72.75
60,60,75,60,60,50,72.75
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,60,50,72.5
60,60,75,60,55,50,72.5
60,60,75,60,55,50,72.5
60,60,75,60,55,50,72.5
60,60,75,60,55,50,72.5
