palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47
evo,y,lara,usan,la,misma,estrategia,el,mismo,discurso,de,odio,y,de,victimizarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamás,pueden,ser,iguales,lara,es,de,profesión,abogado,y,evo,es,un,campesino,que,no,habla,aymara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,son,diferentes,evo,es,pedófilo,y,lara,no,pero,en,sus,discursos,son,iguales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evo,es,un,antisocial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,misma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parecen,gemelos,a,los,2,se,les,movió,la,teja,y,más,cínicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,los,dos,son,masistas,jajaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tienen,el,mismo,discurso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ellos,no,son,del,mas,son,los,nulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
son,la,misma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jajaja,se,parecen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peroson,iguales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comunista,a,la,cárcel,y,punto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonlo,mismosolo,que,lara,version,blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaja,cuánta,sabiduría,loza,a,tu,jefecito,nadie,le,gana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambos,viven,en,la,misma,ignorancia,que,no,ven,la,realidad,de,nuetra,amada,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,que,no,se,parecen,evo,quebró,bolivia,nos,llevó,a,la,crisis,al,comunismo,quien,querrá,imitar,a,evo,con,este,régimen,que,sólo,le,preocupa,el,narcotrfico,por,eso,se,esconde,en,el,chapare,pero,ya,se,termino,que,se,ahorren,sus,palabras,,
pero,que,de,bueno,iso,evo,jajajaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,si,son,idénticos,parecen,clonados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raro,que,no,esté,saliendo,evo,diciéndo,voto,nolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,evo,es,más,experto,en,corrupción,pero,no,le,falta,mucho,a,lara,de,ser,su,pupilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nadie,no,podrán,igualarse,al,evo,el,evo,ha,sido,mejor,presidente,de,bolivia,los,que,hablan,mal,para,el,son,sinvergenzas,,,,,,,,,,,,,,,,,,,,,,,,,
tampoco,hay,por,qué,nombrar,a,un,enfermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,le,molesta,a,este,srloza,si,no,es,igual,por,que,habla,su,conciencia,no,le,deja,dormir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igual,las,ratas,masistas,van,a,votar,por,el,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
son,iguales,en,lo,atrevidos,qué,son,en,que,son,hechos,a,los,humildes,en,lo,amenazadores,soberbios,y,en,las,novelas,que,se,crean,en,la,cabeza,,,,,,,,,,,,,,,,,,,
vamos,paz,y,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los,dos,son,recorosos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paz,y,lara,presidente,de,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,no,sirven,para,nada,los,dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,lo,sé,rick,parece,falso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,masista,el,lara,y,punto,repite,como,loro,lo,q,decía,evo,cual,no,es,lo,mismo,la,cara,si,no,van,a,ser,lo,mismo,pero,en,su,pensamiento,de,regala,bonos,la,misma,cosa,son,,,,,,,,,
jajajalara,evo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
