comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Jaja esos son 0 a la izquierda,60,55,70,10,10,10,72.5,-1
TUTO PRESIDENTE 🇧🇴💪🏾❤️✅️,10,5,80,60,50,40,34.5,0
Vamos con tuto Bolivia 20 años vivimos con estos cobardes ya nos cansaron con esas palabras paz Lara cobardes,75,70,85,15,10,10,80.5,-1
"estoy cansado de escuchar que viva la Patria de Bolivia, y ellos la destruyen ipócritas",70,65,75,15,15,10,76.25,-1
Fuerza rodrigo el futuro presidente,15,5,60,50,45,40,35.25,0
Vamos paz y Lara victoria,10,5,65,55,50,45,32.75,1
Queremos un presidente que saque adelante al país un mejor líder que sea para gobernar al país,10,5,55,80,65,55,23.75,1
"Este gallo junior se despintó completamente, ahora no es más que un simple masista",70,65,80,10,10,10,78.5,-1
Estos tienen miedo a tuto,55,50,70,15,10,10,69.25,-1
Hermanos Bolivianos escuchen a Tja pq nadie lo quiere a Rodrigo Paz,60,55,75,15,10,10,72.25,-1
"Algunas personas quieren seguir con el masismo. No sé dan cuenta que estaríamos en lo mismo. Sin combustible, sin dólares , los precios de la canasta familiar por las nubes.",30,25,70,60,40,45,42.5,0
RODRIGO PAZ PRESIDENTE,10,5,70,55,50,45,33.5,0
Tuto presidente,10,5,75,55,50,45,34.25,0
Tuto Presidente,10,5,75,55,50,45,34.25,0
JAMAS CON UN SOCIALISTA,65,60,80,10,10,10,76.25,-1
Creen que siendo ordinarios y diciendo carajo la gente va votar por ellos cada dia esta dupla pierde votantes,55,50,65,25,20,25,64.0,0
Tuto presidente,10,5,75,55,50,45,34.25,0
Tuto presidente,10,5,75,55,50,45,34.25,0
Tuto presidente………..,10,5,75,55,50,45,34.25,0
Este hace competencia con Yony Fernández tienen la misma ignorancia,70,65,80,10,10,10,78.5,-1
Tuto presidente!!,10,5,75,55,50,45,34.25,0
Tuto presidente,10,5,75,55,50,45,34.25,0
Fuerza fuerza 💪 Rodrigo y capitán Lara Presidente,10,5,65,55,50,45,32.75,1
Las mismas palabras de su jefe evofilo,65,60,85,10,10,10,77.0,-1
"Si no propone nada como puede gobernar...será que no entiendo sus propuestas ?....El país no está para hacer experimentos, está para hombre con pantalones y bien ceñido el cinturón, caso contrario con bla, bla, bla no hacen nada 🤭🗣",40,35,65,50,40,35,49.25,0
Tuto precidente,10,5,75,55,50,45,34.25,0
Tuto presidente,10,5,75,55,50,45,34.25,0
Comunista de .. Rodrigo,75,70,85,10,10,10,81.5,-1
TUTO PRESIDENTE ✅,10,5,75,55,50,45,34.25,0
TUTO PRESIDENTE,10,5,75,55,50,45,34.25,0
TUTO presidente adelante con mas fuerza,10,5,75,55,50,45,34.25,0
Se. Olvidaron. De. Proyectos. Para. ORURO!!!!!,45,40,60,25,20,25,58.75,0
Sres es con Tuto,10,5,70,55,50,45,33.5,0
Charlatán como si padrino EVO,75,70,85,10,10,10,81.5,-1
Tuto presidente,10,5,75,55,50,45,34.25,0
Populistas de mié...,80,75,90,10,10,10,84.5,-1
"Si votan por. PAz ,Lara es darle nuestro votos a Evo está más claro que el agua",55,50,80,30,25,30,64.25,0
TUTO PRESIDENTE,10,5,75,55,50,45,34.25,0
Vamos con todo Rodrigo,10,5,70,55,50,45,33.5,0
"Mejor me quedo en silencio, como mucha gente en silencio que prefiere no renegar y tener definido por quien votar. Para eso todos somos LIBRES de escoger y votar.",10,5,50,70,60,60,25.0,1
Es con Tuto para salir de esta crisis que nos dejan los masistas.,15,10,65,55,45,40,36.0,0
Tuto presidente,10,5,75,55,50,45,34.25,0
No más socialismo por favor,55,50,75,20,15,20,67.5,-1
No mas izquierdistas socialistas TUTO PRESIDENTE,65,60,85,10,10,10,77.0,-1
Tuto presidente 💪,10,5,75,55,50,45,34.25,0
Tuto carajo,65,60,70,15,10,10,73.75,-1
Es con Tuto para salir de la crisis,15,10,70,55,45,40,36.75,0
Para todos los masistas falsos zurdos come Mier….,85,80,90,10,10,10,86.75,-1
Tuto presidente,10,5,75,55,50,45,34.25,0
TuTo Presidente!!!,10,5,75,55,50,45,34.25,0
Es la continuación de los 20 años de socialismo.,45,40,80,25,20,25,61.75,0
Discurso nada positivo,40,35,70,25,20,25,58.0,0
No están unidos ni los de su partido 🤷‍♀️,30,25,60,20,20,25,53.0,0
Por qué no hablas como solucionar el país de la inflación de los dólares del combustible nada de propuestas,35,30,65,55,45,40,45.0,0
"Realmente el MAS y Evo en su máxima expresión, Dios salve a Bolivia.",50,45,85,20,20,20,66.25,-1
TUTO PRESIDENTE 🇧🇴,10,5,75,55,50,45,34.25,0
"Que ordinario porque no deja esa frase c…,,,jo😠",75,70,80,10,10,10,80.75,-1
Qué mentira,55,50,65,20,15,20,66.0,0
Mini gallito de alasitas,60,55,70,15,10,10,71.5,-1
