palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50,palabra_51,palabra_52,palabra_53,palabra_54,palabra_55,palabra_56
jaja,esos,son,0,a,la,izquierda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vamos,con,tuto,bolivia,20,años,vivimos,con,estos,cobardes,ya,nos,cansaron,con,esas,palabras,paz,lara,cobardes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estoy,cansado,de,escuchar,que,viva,la,patria,de,bolivia,y,ellos,la,destruyen,ipócritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,rodrigo,el,futuro,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vamos,paz,y,lara,victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queremos,un,presidente,que,saque,adelante,al,país,un,mejor,líder,que,sea,para,gobernar,al,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,gallo,junior,se,despintó,completamente,ahora,no,es,más,que,un,simple,masista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estos,tienen,miedo,a,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermanos,bolivianos,escuchen,a,tja,pq,nadie,lo,quiere,a,rodrigo,paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algunas,personas,quieren,seguir,con,el,masismo,no,sé,dan,cuenta,que,estaríamos,en,lo,mismo,sin,combustible,sin,dólares,los,precios,de,la,canasta,familiar,por,las,nubes,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodrigo,paz,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamas,con,un,socialista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cren,que,siendo,ordinarios,y,diciendo,carajo,la,gente,va,votar,por,ellos,cada,dia,esta,dupla,pierde,votantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,hace,competencia,con,yony,fernández,tienen,la,misma,ignorancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,fuerza,rodrigo,y,capitán,lara,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
