Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
70,65,85,60,55,50,79.25
70,65,85,60,55,50,79.25
70,65,85,55,50,50,79.25
70,65,85,55,50,50,79.25
70,65,85,55,50,50,79.25
70,65,85,50,50,45,79.25
70,65,85,50,50,45,79.25
70,65,85,50,50,45,79.25
70,65,85,50,45,40,79.25
65,60,85,50,45,40,77.0
65,60,80,50,45,40,76.25
65,60,80,10,10,10,76.25
65,60,80,10,10,10,76.25
65,60,80,10,10,10,75.5
65,60,80,10,10,10,75.5
65,60,80,10,10,10,75.5
60,55,80,10,10,10,74.0
60,55,80,10,10,10,74.0
60,55,80,10,10,10,74.0
60,55,80,10,10,10,74.0
60,55,80,10,10,10,74.0
60,55,80,10,10,10,73.25
60,55,75,10,10,10,73.25
60,55,75,10,10,10,73.25
60,55,75,10,10,10,73.25
60,55,75,10,10,10,73.25
15,10,75,10,10,10,53.0
15,10,75,10,10,10,53.0
15,10,75,10,10,10,52.25
15,10,75,10,10,10,50.75
15,10,75,10,10,10,37.75
15,10,75,10,10,10,36.25
10,5,75,10,10,10,36.25
10,5,75,10,10,10,35.25
10,5,75,10,10,10,34.5
10,5,70,10,10,10,34.5
10,5,70,10,10,10,34.5
10,5,70,10,10,10,34.5
10,5,70,10,10,10,34.5
10,5,60,10,10,10,33.0
10,5,55,10,10,10,31.5
