comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
JP. Vicepresidente y Tuto Presidente de Bolivia,85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
Tuto y JP son más preparados y educados,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Lara gano de lejos y el pueblo verdadero lo escucho y vio.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto presidente Juan Pablo vicepresidente,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
Seria un honor trabajar con Tuto Quiroga.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Una Dupla triunfadora hasta la victoria el 19 de Octubre Tuto Presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Totalmente de acuerdo con Tuto,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"TUTO y JP,mejores en todo,los personajes adecuados e idóneos que necesita Bolivia para ser gobernador!!",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
JP y TUTO PRESIDENTE DE 🇧🇴,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TuTo presidente,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
TUTO PRESIDENTE,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Espera en las urnas, la goleada que te dará el capitán....",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Ahora con mas Razón mi apoyo a Lara .no mas racistas y corruptos a costa del pueblo .tiene que investigarse lo del desfalco del banco fassil,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto presidente.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Bien J.P.,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Si estaba con chanchullo ...,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO PRESIDENTE DE MI REPUBLICA DE BOLIVIA,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
TUTO PRESIDENTE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Aún así rodrigo Paz y Edman Lara presidente 👍🇧🇴👏👏🇧🇴🇧🇴🇧🇴👏👏🇧🇴🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Tuto presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
TUTO PRESIDENTE 🇧🇴,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO PRESIDENTE y JP VELASCO VICE VAMOSSSSS 👆👆👆👆👆👆👆👆,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto president les guste o no,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
JP Velasco Vicepresidente!!!,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
PAZ PRESIDENTE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Gracias a JP, Paz y Lara ganadores de la segunda vuelta.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Ninguno tenía propuestas para la crisis económica. En cuanto a los candidatos presidenciales, Bolivia tiene memoria.",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
En sus sueños 😂😂😂,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Tuto presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Muy buena participación el otro estaba perdido y repetido muchas palabras porque no tenía salida para respuestas concretas y se reía se pensaba que estaba en un circo que lamentable así quieren manejar un país solo con promesas,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Juan Pablo le dio cátedra de economía, propuestas, gobernabilidad y educación. Lara es un arrogante, ignorante y maleducado.",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
ECONOMICO QUE DEJO EL MAS,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Si fuera así para que hicieran guerra sucia, pienso que algo está mal",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Vivimos tiempos finales el que está despierto sabe identificar de lo bueno y lo malo ...entre Barrabás y lo justo .. racistas del amor al prójimo...uyy es grave ...lo que se vive hoy en dia,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Según tuto,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto presidente 👌👏👏,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Quepodemos decir y bueno cada panadero alava su su pan,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
CON TUTO HAY DINAMICA INDUSTRIAL JUSTICIA VERDAD HONESTIDAD EDUCACION IGUALDAD PARA TODOS LOS BOLIVIANOS QUE QUEREMOS ESTAR ORGULLOSOS DE UNA BOLIVIA LIBRE FUERTE RESPETADA Y NO MAS DEL PAIS CAMPEON MUNDIAL DE LA CORRUPCION Y LA VERGUENZA,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Pobre corruptos ni goles saben identificar,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto - Presidente.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"La goleada es más suave,que la paliza que te espera ,Bolivia festejará doble triunfo,por Rodrigo presidente y Lara vice presidente, y por tu gran fracaso político,esta vez será para siempre.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
"Cómo es posible que sea Vice Presidente el Drogo del Lari, por eso no hay MAS TUTO PRESIDENTE de la REPÚBLICA de BOLIVIA 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
q nos muestre sus empresas si realmente vive en bolivia qeremos ver,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Hablando de autogoles, este JP no necesita contrarios",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Ambos estuvieron pesimos, uno no tenia propuestas, el otro resulto ser aparte de racista, embaucador y propenso a mentir cada vez que abre la voca. JP fue la peor decisión de Tuto.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto no sabe lo que dice,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
No saben ni patear pelota y hablan de goles,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"LIBRE , ES LA SOLUCIÓN",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Yo vi lo contrario 🤣🤣,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"JP EDUCADO, RESPETUOSO Y CON PROPUESTAS!!!",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Sumando todos y de los muchos que falta los que se robó la plata del banco fassil y dónde estás y si entra al gobierno lo estafado queda en la impunidad,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Demostro umildad y censilles jp,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Esa es la realidad..!!,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Tuto presidente c.....,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
