comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
No a privatizacion noooooo..ninguno,85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
"Pero Kiko debía decir de frente cuanto vale Bolivia y a qué precio quiere vender ,",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"""¡Un activistas independiente sin color político con voz propia comprometido con el progreso regional y nacional.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto Quiroga cuánto cobras x los puestos como diputada estoy interesada 🤣,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
Quico me tienes arto por q no vas a la m,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Es impresionante la devoción. Ya nada me sorprendería, hasta capaz que un día lo oímos debatir si Evo nació de un huevo o no.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Qué va a debatir Rodrigo Paz si tiene todo charlado con la mafia azul, el trato dejar los juicios a cambio de votos, así se juega con la justicia y la economía de Bolivia",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Que quieren dé Evo murales el no está solo Evo es el mejor presidente de la estoria de bolivia,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Está sanguijuela está desesperada....,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Los masistas siempre van hablar mal de tuto,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"sinceramente, el pueblo no quiere saber de políticos pasados, sino de estrategias y acciones que resuelvan la crisis económica del pais que afecta a las familias bolivianas, tambien garantizar las fuentes laborales, abrir nuevos espacio de trabajo, fortalecer la formación de nuestros jovenes y fomentar la investigacion, actualización cientifica en el pais, como tambien la tecnología, valorar y no dejar escapar a profesionales de calidad que tienen iniciativas reales y contextualizadas. es necesario atender al pueblo, satisfacer las necesidades del pueblo y no desviar las prioridades con discursos vánales y distractorios, esa es una forma de matar de hambre al pueblo...",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Este tutu nose olvida d su papi evo 🤣🤣🤣🤣,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Cuál debate si este Kiko el único proyecto q tiene es presentarse dinero del FMI , eso es todo .",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Seguro Paz no va aceptar se va a correr,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
. No hay propuestas,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto presidente 🇧🇴,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este abuelo solo sabe ablar de su macho Evo es lo único que ase,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Quere devatir como ayque rrobar eso seguro en eso devate el tutu puede ganar,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Quiere debatir su programa de gobierno que es Evo kkk,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Que tiene que ver Evo en este baile,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
KIKO ubicate,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"La carencia de propuestas serias de gobierno, por desesperación debe desafiar y hablar de Evo para sostenerse su frívola y pauperrima candidatura.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Hay que jubilarlo a este, al igual como jubilamos a Doria Medina y Manfred",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Enamorado este kikin de Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Quico está jale super enamorado de EVO,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
La misma soberbia de Arturo Murillo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Si te tiene arto no lo mires y listo,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"De que va desglosar Sr. Tutito de los Petrocontratos, o sino de como ayudo a escapar al Tirano x Río Abajo en 2019...",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Eso es guerra sucia para Larii,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Kiko solo habla de su macho Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Tuto presidente...,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Este no tiene más q evo párese enamorado del cocalero,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Que solucion daria este tipo solo va privatizar las estatales y luego a el no le importa nada nuestra gente del campo,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Solo los flojos e ignorantes votarán por el PDC,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Este hombre como Manfred viven y duermen con Evo todo el tiempo piensan en Evo en vez de plantear cosas buenas solo Evo piensa,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Sino bas ganar bas escapar del País cajo tuto,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Parece q este señor tuto se olvida de propuesta. Como si metiendole a evo a la carcel nos mejorara la economia.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Va a eludir porque no tiene formacion es populista,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Con mucho respeto Tuto quieres ser presidente por que no pensas como sacar a Bolivia adelante sin endeudar a Bolivia con FMI más estas preocupado con Evo si era tu amigo usted lo saco del país en 2019 hablas de corrupción si vos viviste con la corrupción toda tu vida política no seas sinvergüenza tuto y así quieres ser presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Ya fuiste Kiko nadie vas debatir con vos,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Para este cachete lo más importante es Evo,por no decir debatamos como salir de esta crisis en lo que estamos todo los precios está sobre las nubes y el sueldo no alcanza",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Maleante,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Rodrigo ya no sabe cómo evadir hablar de su jefe supremo Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
HIPOCRESÍA TUTO QUIROGA ES CANDIDATO GRACIAS A EVO MORALES QUIEN LE PERDONO LOS CONTRATOS PETROCONTRATOS BILLONARIOS QUE DEBÍA AL ESTADO BOLIVIANO EL KIKO Y EVO LE DIO LA AMNISTÍA Y GRACIAS A ESO ES CANDIDATO SINOS ESTARIA EN LA CÁRCEL Y POR SI FUERA POCO HASTA PERDIO LA SALIDA AL MAR EN EL JUICIO DE LA HAYA,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Tuto vas a perder la patria nesecita gente nueva y no un dinosaurio político . De los pocos que tienen oportunidad de servir a la PATRIA algunitos hacen buena gestión el tuyo fue con mucha sangre,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este sujeto está enamorado de evo,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Rodrigo,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Tutito no es de Bolivia....es una oportunista.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Nunca discutas con un tonto ya que te bajara a su nivel y por su experiencia te ganara....,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Rodrigo no quiere hablar de su jefe Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Vamos hasta lograr Bolivia Libre, Democrática y Soberana 🇧🇴🇧🇴🇧🇴",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Evo es todo!!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Claro como no tiene programa de gobierno , entonces tiene que buscar estas cosas, como defrauda a la gente de clase popular",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
No hay debate de Evo si vas hablar de la gente humilde de una,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Que desesperación, ya debería estar haciendo reservaciones para irse a EEUU",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Que tuto rete a los de su tamaño, a Manfred y al del ADN.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
