palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50,palabra_51,palabra_52,palabra_53,palabra_54,palabra_55,palabra_56,palabra_57,palabra_58,palabra_59,palabra_60,palabra_61,palabra_62,palabra_63,palabra_64,palabra_65,palabra_66,palabra_67,palabra_68,palabra_69,palabra_70,palabra_71,palabra_72,palabra_73,palabra_74,palabra_75,palabra_76,palabra_77,palabra_78,palabra_79,palabra_80,palabra_81,palabra_82,palabra_83,palabra_84,palabra_85,palabra_86,palabra_87,palabra_88,palabra_89,palabra_90,palabra_91,palabra_92,palabra_93,palabra_94,palabra_95,palabra_96,palabra_97,palabra_98,palabra_99,palabra_100,palabra_101
no,a,privatizacion,noninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,kiko,debía,decir,de,frente,cuanto,vale,bolivia,y,a,qué,precio,quiere,vender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un,activistas,independiente,sin,color,político,con,voz,propia,comprometido,con,el,progreso,regional,y,nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,quiroga,cuánto,cobras,x,los,puestos,como,diputada,estoy,interesada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quico,me,tienes,arto,por,q,no,vas,a,la,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,impresionante,la,devoción,ya,nada,me,sorprendería,hasta,capaz,que,un,día,lo,oímos,debatir,si,evo,nació,de,un,huevo,o,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qué,va,a,debatir,rodrigo,paz,si,tiene,todo,charlado,con,la,mafia,azul,el,trato,dejar,los,juicios,a,cambio,de,votos,así,se,juega,con,la,justicia,y,la,economía,de,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,quieren,dé,evo,murales,el,no,está,solo,evo,es,el,mejor,presidente,de,la,estoria,de,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
está,sanguijuela,está,desesperada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los,masistas,siempre,van,hablar,mal,de,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
