Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
90.0,85.0,90.0,40.0,35.0,45.0,91.5
90.0,85.0,90.0,35.0,30.0,40.0,91.5
90.0,85.0,90.0,30.0,25.0,35.0,91.5
90.0,85.0,90.0,25.0,20.0,30.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
90.0,85.0,90.0,20.0,15.0,25.0,91.5
