comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
TUTO PRESIDENTE LA ÚNICA OPCIÓN PARA SALVAR BOLIVIA CON UNA PROPUESTA REAL ❤️💛💚,15.0,10.0,80.0,75.0,80.0,70.0,27.75,1.0
A llorar ahora,55.0,50.0,60.0,20.0,15.0,10.0,66.25,-1.0
JORGE TUTO QUIROGA PRESIDENTE DE BOLIVIA DIGAN LO QUE DIGAN,25.0,20.0,75.0,60.0,65.0,55.0,37.5,0.0
Fuerza juan Pablo eres un hombre extraordinario,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Sigue adelante JP 💪,10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
JP vicepresidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
Valientes para quebrar bancos ahora sale que es llorón,65.0,70.0,65.0,15.0,10.0,5.0,75.5,-1.0
JP VELASCO VICEPRESIDENTE 🇧🇴👍🏽🙏,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
Quien siembra cosecha 🌾,15.0,10.0,60.0,70.0,75.0,65.0,26.75,1.0
La única opción TUTO PRESIDENTE Siiiiiiiii,15.0,10.0,75.0,70.0,75.0,65.0,29.0,1.0
"Fuerza JP, falta poco.",10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
Igual votaremos tuto,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Fuerza JP!! ❤️💛💚,10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
Adelante J P,10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
Dios los bendiga y proteja siempre 🙏,5.0,0.0,60.0,85.0,90.0,80.0,16.25,1.0
Dios te proteja y sigas adelante ya estas aunos dias de que ganes las eleciones juan pablo,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
JP VAMOS ADELANTE TE APOYAMOS,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
