Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
85,90,85,85,90,80,89.0
80,85,80,85,90,80,86.0
75,80,80,85,90,80,82.25
75,80,80,85,90,80,80.25
70,75,80,85,90,80,79.25
70,75,80,80,85,75,79.25
70,75,80,80,85,75,78.5
70,75,75,80,85,75,76.25
70,75,75,80,85,75,76.25
65,70,75,80,85,75,76.25
65,70,75,80,85,75,76.25
65,70,75,80,85,75,76.25
65,70,75,80,85,75,75.5
65,70,75,80,85,75,75.25
65,70,75,80,85,75,75.25
65,70,75,80,85,75,74.25
65,70,75,80,85,75,73.5
60,65,75,80,85,75,72.75
60,65,75,80,85,75,72.0
60,65,75,75,80,70,71.25
60,65,75,75,80,70,70.75
60,65,70,75,80,70,70.5
60,65,70,75,80,70,70.5
55,50,70,75,80,70,66.5
55,50,70,75,80,70,66.5
55,50,70,75,80,70,66.25
50,45,70,75,80,70,64.75
50,45,70,75,80,70,60.5
45,40,70,70,75,65,58.25
45,40,70,70,75,65,57.25
45,40,70,70,75,65,56.25
40,35,70,70,75,65,55.0
40,35,70,70,75,65,55.0
40,35,70,70,75,65,54.0
40,35,70,70,75,65,53.0
35,30,70,70,75,65,52.5
35,30,70,70,75,65,52.0
35,30,70,70,75,65,46.25
35,30,70,70,75,65,45.75
30,25,70,70,75,65,44.75
30,25,70,70,75,65,43.75
25,20,70,70,75,65,37.5
20,15,70,70,75,65,33.25
20,15,70,70,75,65,32.5
20,15,70,70,75,65,32.0
20,15,70,70,75,65,31.25
20,15,70,70,75,65,30.5
20,15,70,70,75,65,29.5
15,10,70,70,75,65,29.0
15,10,70,70,75,65,28.25
15,10,70,70,75,65,28.25
15,10,70,70,75,65,28.25
15,10,70,70,75,65,28.25
15,10,70,70,75,65,28.25
15,10,70,70,75,65,28.25
15,10,70,65,70,60,28.25
15,10,70,65,70,60,28.25
15,10,70,65,70,60,28.25
15,10,70,60,65,55,28.25
15,10,70,55,50,45,28.25
15,10,65,55,50,45,28.25
15,10,65,50,45,40,28.25
15,10,65,45,40,35,28.25
15,10,65,45,40,35,27.75
15,10,65,45,40,35,27.75
15,10,65,40,35,30,26.75
15,10,65,35,30,25,26.0
15,10,65,35,30,25,26.0
15,10,65,35,30,25,26.0
10,5,65,35,30,25,26.0
10,5,65,30,25,20,26.0
10,5,65,25,20,15,26.0
10,5,65,25,20,15,26.0
10,5,65,25,20,15,26.0
10,5,65,25,20,15,24.25
10,5,65,25,20,15,24.25
10,5,65,25,20,15,23.5
10,5,65,25,20,15,23.25
10,5,65,20,15,10,23.25
10,5,65,20,15,10,23.25
10,5,65,20,15,10,23.25
10,5,65,20,15,10,23.25
10,5,65,20,15,10,23.25
10,5,65,20,15,10,23.25
10,5,65,20,15,10,21.25
10,5,65,20,15,10,21.25
10,5,65,20,15,10,21.25
10,5,65,20,15,10,21.25
10,5,65,15,10,5,21.25
10,5,65,15,10,5,21.25
10,5,60,15,10,5,21.25
10,5,60,15,10,5,21.25
10,5,60,15,10,5,21.25
10,5,60,15,10,5,21.25
10,5,60,15,10,5,21.25
5,0,60,15,10,5,16.25
5,0,60,15,10,5,16.25
5,0,60,15,10,5,16.25
5,0,60,10,5,5,16.25
5,0,55,10,5,5,16.25
