comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Son los mismos que tambien le levantaban los brazos y ponían flores a Evo y luego a Luis Arce...,45,40,75,35,30,25,58.0,0
"Podrán alinearse con quiera, pero varios afiliados no estamos de acuerdo, por que el PDC tiene vínculos con el MAS, El transporte debe mantenerse independiente, sin servir intereses políticos.",30,25,70,65,60,55,38.5,0
Tuto presidente.,10,5,70,65,70,60,28.0,1
O culparán a la derecha???????,40,35,65,30,25,20,56.25,0
TUTO PRESIDENTE el mejor,15,10,75,65,70,60,31.0,1
Tuto presidente de la Republica de Bolivia 🇧🇴🇧🇴🇧🇴,15,10,75,65,70,60,31.0,1
Todos los masistas se mudaron al PDC,45,40,75,30,25,20,60.0,0
Solo unos cuantos colgandijos,50,55,65,25,20,15,64.75,0
Sigan apoyando al mas para que dê una vez acabe con el transporte Cruceño. PDC.,55,60,75,25,20,15,68.5,-1
"Difícil que tengan votos los del OPA y CHICLE,,, por eso TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴",35,30,75,55,50,45,45.5,0
Cuánto chicles les llevo el loco,40,35,65,30,25,20,56.25,0
Es que cada vez demuestran que son muchos a los que se refirió la diputada chilena.,35,30,70,45,40,35,48.75,0
"Rumbo al cambio verdadero en educación, salud, economía y transporte, con mejores carreteras para el progreso de Bolivia. ♥️💛💚🇧🇴🐓",20,15,75,70,75,65,31.25,1
Como se juntan entre ratas,60,65,65,20,15,10,71.25,-1
"A los dirigentes del transporte publico y demás yerbas les importa un CARAJO servir a sus bases... Solo piensan que van a conseguir ellos para su propio beneficio,.... En los transportista hay gente inteligente, savia y con criterio propio que sabrá elegir a quien merece!!",55,60,70,35,30,25,63.75,0
ES CON TUTO PRESIDENTE BOLIVIA LIBRE,20,15,75,60,65,55,35.25,0
Siguen en las mismas los sindicatos seguro les prometieron subir el pasaje como lo hizo Tongo este año....,50,55,70,30,25,20,63.5,0
La continuacion.que.sigan hasiendo colas por combustible..,45,40,70,30,25,20,59.25,0
Dp quiero ver qué hacen con el Diésel …,35,30,65,40,35,30,50.0,0
Tuto presidente,10,5,70,65,70,60,28.0,1
Tuto presidente,10,5,70,65,70,60,28.0,1
Tuto presidente,10,5,70,65,70,60,28.0,1
Creo que el trasporte público quiere quedarse sin pasajeros otraves,40,35,65,35,30,25,54.25,0
