palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48
son,los,mismos,que,tambien,le,levantaban,los,brazos,y,ponían,flores,a,evo,y,luego,a,luis,arce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
podrán,alinearse,con,quiera,pero,varios,afiliados,no,estamos,de,acuerdo,por,que,el,pdc,tiene,vínculos,con,el,mas,el,transporte,debe,mantenerse,independiente,sin,servir,intereses,políticos,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,culparán,a,la,derecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,el,mejor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,de,la,republica,de,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,los,masistas,se,mudaron,al,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solo,unos,cuantos,colgandijos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigan,apoyando,al,mas,para,que,d,una,vez,acabe,con,el,transporte,cruceño,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
difícil,que,tengan,votos,los,del,opa,y,chicle,por,eso,tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuánto,chicles,les,llevo,el,loco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,que,cada,vez,demuestran,que,son,muchos,a,los,que,se,refirió,la,diputada,chilena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rumbo,al,cambio,verdadero,en,educación,salud,economía,y,transporte,con,mejores,carreteras,para,el,progreso,de,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
como,se,juntan,entre,ratas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,los,dirigentes,del,transporte,publico,y,demás,yerbas,les,importa,un,carajo,servir,a,sus,bases,solo,piensan,que,van,a,conseguir,ellos,para,su,propio,beneficio,en,los,transportista,hay,gente,inteligente,savia,y,con,criterio,propio,que,sabrá,elegir,a,quien,merece,,,
