Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
100.0,95.0,90.0,90.0,90.0,80.0,94.25
100.0,95.0,90.0,85.0,90.0,80.0,94.25
95.0,95.0,90.0,85.0,90.0,80.0,93.5
95.0,95.0,90.0,85.0,90.0,80.0,93.5
95.0,95.0,90.0,85.0,90.0,80.0,93.0
95.0,95.0,90.0,85.0,85.0,75.0,92.5
95.0,90.0,90.0,80.0,85.0,75.0,91.5
95.0,90.0,90.0,80.0,85.0,75.0,91.0
90.0,90.0,90.0,80.0,85.0,75.0,91.0
90.0,90.0,90.0,80.0,85.0,75.0,91.0
90.0,90.0,90.0,80.0,85.0,75.0,91.0
90.0,90.0,90.0,80.0,85.0,75.0,91.0
90.0,90.0,90.0,80.0,85.0,75.0,91.0
90.0,90.0,90.0,80.0,85.0,75.0,90.75
90.0,90.0,90.0,80.0,85.0,75.0,90.0
90.0,90.0,90.0,80.0,85.0,75.0,89.75
90.0,90.0,90.0,80.0,85.0,75.0,89.75
90.0,90.0,90.0,80.0,85.0,75.0,89.75
90.0,90.0,90.0,80.0,85.0,75.0,89.5
90.0,90.0,90.0,80.0,80.0,70.0,89.25
90.0,90.0,90.0,80.0,80.0,70.0,89.0
90.0,90.0,90.0,80.0,80.0,70.0,89.0
90.0,90.0,90.0,75.0,80.0,70.0,88.75
90.0,90.0,90.0,75.0,80.0,70.0,88.75
90.0,90.0,90.0,75.0,80.0,70.0,88.5
90.0,90.0,90.0,75.0,80.0,70.0,88.5
90.0,90.0,90.0,75.0,80.0,70.0,88.25
90.0,90.0,90.0,75.0,80.0,70.0,88.0
90.0,90.0,90.0,75.0,80.0,65.0,88.0
90.0,90.0,90.0,75.0,80.0,65.0,88.0
90.0,90.0,90.0,75.0,80.0,65.0,88.0
90.0,90.0,90.0,70.0,80.0,65.0,87.0
90.0,90.0,90.0,70.0,80.0,65.0,87.0
90.0,90.0,90.0,70.0,80.0,65.0,87.0
90.0,90.0,90.0,70.0,80.0,65.0,87.0
90.0,90.0,90.0,70.0,80.0,65.0,87.0
90.0,90.0,90.0,70.0,80.0,65.0,87.0
90.0,90.0,85.0,70.0,80.0,65.0,86.75
90.0,90.0,85.0,70.0,80.0,65.0,86.75
90.0,90.0,85.0,70.0,80.0,65.0,86.75
90.0,90.0,85.0,70.0,80.0,65.0,86.75
90.0,90.0,85.0,70.0,80.0,65.0,86.5
90.0,90.0,85.0,70.0,80.0,65.0,86.5
90.0,90.0,85.0,70.0,75.0,65.0,86.5
90.0,90.0,85.0,70.0,75.0,65.0,86.5
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,86.0
90.0,90.0,85.0,70.0,75.0,65.0,85.75
90.0,90.0,85.0,70.0,75.0,65.0,85.5
90.0,90.0,85.0,70.0,75.0,65.0,85.5
