Agresividad_Ordenado,Ofensa_Ordenado,Ideología_Ordenado,Constructividad_Ordenado,Empatía_Ordenado,Diálogo_Ordenado,Total_Ordenado
95.0,95.0,90.0,70.0,80.0,40.0,94.25
95.0,95.0,90.0,70.0,80.0,30.0,94.25
95.0,95.0,90.0,60.0,80.0,10.0,93.0
95.0,95.0,90.0,40.0,80.0,10.0,91.5
95.0,90.0,90.0,40.0,80.0,10.0,91.0
95.0,90.0,90.0,40.0,30.0,10.0,90.75
90.0,90.0,90.0,40.0,30.0,10.0,88.75
90.0,90.0,85.0,30.0,30.0,10.0,88.5
90.0,90.0,85.0,30.0,20.0,10.0,88.0
90.0,90.0,85.0,20.0,20.0,10.0,88.0
90.0,90.0,85.0,20.0,20.0,10.0,87.0
90.0,90.0,85.0,20.0,20.0,10.0,87.0
90.0,90.0,85.0,15.0,15.0,10.0,87.0
90.0,90.0,85.0,10.0,10.0,10.0,87.0
90.0,90.0,85.0,10.0,10.0,10.0,87.0
90.0,90.0,85.0,10.0,10.0,10.0,86.75
90.0,90.0,85.0,10.0,10.0,10.0,86.5
90.0,85.0,85.0,10.0,10.0,10.0,86.5
90.0,85.0,80.0,10.0,10.0,10.0,86.5
90.0,85.0,80.0,10.0,10.0,10.0,86.0
90.0,85.0,80.0,10.0,10.0,10.0,86.0
90.0,85.0,80.0,10.0,10.0,10.0,85.5
90.0,85.0,80.0,10.0,10.0,5.0,85.25
90.0,85.0,80.0,10.0,10.0,5.0,85.25
90.0,85.0,80.0,10.0,10.0,5.0,85.25
90.0,85.0,80.0,10.0,10.0,5.0,85.0
90.0,85.0,80.0,10.0,10.0,5.0,84.5
90.0,85.0,80.0,10.0,10.0,5.0,84.5
90.0,85.0,80.0,10.0,10.0,5.0,84.0
90.0,85.0,80.0,10.0,10.0,5.0,83.5
90.0,85.0,75.0,10.0,10.0,5.0,82.5
90.0,85.0,70.0,10.0,10.0,5.0,82.5
90.0,85.0,70.0,10.0,10.0,5.0,82.5
90.0,85.0,70.0,10.0,10.0,5.0,82.5
90.0,85.0,70.0,10.0,5.0,5.0,82.5
90.0,85.0,70.0,5.0,5.0,5.0,82.0
90.0,85.0,70.0,5.0,5.0,5.0,82.0
90.0,85.0,70.0,5.0,5.0,5.0,81.75
90.0,85.0,70.0,5.0,5.0,5.0,81.5
90.0,85.0,70.0,5.0,5.0,5.0,81.5
90.0,85.0,70.0,5.0,5.0,5.0,81.0
90.0,85.0,70.0,5.0,5.0,5.0,80.75
90.0,85.0,70.0,5.0,5.0,5.0,80.5
90.0,85.0,70.0,5.0,5.0,5.0,80.5
90.0,85.0,70.0,5.0,5.0,5.0,80.5
90.0,85.0,60.0,5.0,5.0,5.0,80.5
90.0,85.0,60.0,5.0,5.0,5.0,80.5
90.0,85.0,60.0,5.0,5.0,5.0,80.5
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.25
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,60.0,5.0,5.0,5.0,80.0
90.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,80.0
85.0,85.0,50.0,5.0,5.0,5.0,79.5
85.0,85.0,50.0,5.0,5.0,5.0,79.5
85.0,85.0,50.0,5.0,5.0,5.0,79.5
80.0,85.0,50.0,5.0,5.0,5.0,79.5
80.0,85.0,50.0,5.0,5.0,5.0,79.5
80.0,85.0,50.0,5.0,5.0,5.0,79.5
80.0,85.0,50.0,5.0,5.0,5.0,79.25
80.0,85.0,50.0,5.0,5.0,5.0,79.25
80.0,85.0,50.0,5.0,5.0,5.0,79.25
80.0,85.0,50.0,5.0,5.0,5.0,79.25
80.0,85.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,5.0,79.25
80.0,80.0,50.0,5.0,5.0,0.0,79.0
80.0,80.0,50.0,5.0,5.0,0.0,79.0
80.0,80.0,50.0,5.0,5.0,0.0,79.0
80.0,80.0,50.0,5.0,5.0,0.0,79.0
80.0,80.0,50.0,5.0,5.0,0.0,78.75
80.0,80.0,50.0,5.0,5.0,0.0,78.75
80.0,80.0,50.0,5.0,5.0,0.0,78.5
80.0,80.0,50.0,5.0,5.0,0.0,78.25
80.0,80.0,50.0,5.0,5.0,0.0,78.25
80.0,80.0,50.0,5.0,5.0,0.0,78.25
80.0,80.0,50.0,5.0,5.0,0.0,78.0
80.0,80.0,50.0,5.0,5.0,0.0,77.75
80.0,80.0,50.0,5.0,5.0,0.0,77.5
70.0,80.0,40.0,5.0,5.0,0.0,77.0
70.0,80.0,40.0,5.0,5.0,0.0,76.75
70.0,80.0,40.0,5.0,5.0,0.0,76.5
70.0,80.0,40.0,5.0,5.0,0.0,76.25
70.0,80.0,40.0,5.0,5.0,0.0,75.75
70.0,80.0,40.0,5.0,5.0,0.0,75.5
70.0,80.0,40.0,5.0,5.0,0.0,75.25
70.0,80.0,40.0,5.0,5.0,0.0,75.25
70.0,75.0,40.0,5.0,5.0,0.0,75.0
70.0,70.0,40.0,5.0,5.0,0.0,75.0
70.0,70.0,40.0,5.0,5.0,0.0,74.5
70.0,70.0,40.0,5.0,5.0,0.0,74.5
70.0,70.0,40.0,5.0,5.0,0.0,74.5
70.0,70.0,40.0,5.0,5.0,0.0,74.5
70.0,70.0,40.0,5.0,5.0,0.0,74.5
60.0,70.0,40.0,5.0,5.0,0.0,74.5
60.0,70.0,40.0,5.0,5.0,0.0,74.5
60.0,70.0,40.0,5.0,5.0,0.0,74.0
60.0,70.0,40.0,5.0,5.0,0.0,73.0
60.0,70.0,40.0,5.0,5.0,0.0,72.5
60.0,70.0,40.0,5.0,5.0,0.0,72.5
