palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37
preoccupate,de,ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nisiquiera,improvisar,sabe,este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,increíble,lo,q,opina,la,gente,no,saben,cómo,es,eu,piensen,pues,un,poquito,por,favor,,,,,,,,,,,,,,,,,,,
no,dijo,que,los,candidatos,no,tienen,la,legalidad,de,gestionar,créditos,o,ayuda,en,el,exterior,quien,le,entiende,,,,,,,,,,,,,,,,,
este,no,sabe,que,es,plan,de,gobierno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,claro,se,va,reunir,con,claure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,plan,zurdos,capitalistas,jajajajaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,si,es,de,izquierda,tiene,que,ir,a,cuba,venezuela,y,otros,copión,de,tuto,capaj,y,quiere,buscarle,a,claure,,,,,,,,,,,,,,,
si,no,tiene,nada,que,ba,presentar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vamos,con,paz,y,lara,bolivia,necesita,renovación,con,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,
lloron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,dirá,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,pena,que,no,se,sientan,capases,de,gobernar,solo,con,el,pueblo,sienpre,trayendo,resetas,de,afuera,,,,,,,,,,,,,,,,,,,
una,pena,está,gente,que,no,se,sienten,capas,y,tienen,que,ir,de,rodillas,a,los,yanqui,gg,,,,,,,,,,,,,,,,,,
eu,no,negocia,con,socialistas,zurdos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,si,solo,con,la,nacionalización,de,los,chutos,y,quitarles,la,renta,a,los,ex,presidentes,te,alcanzaba,y,sobraba,,,,,,,,,,,,,,,,
no,estará,yendo,a,buscar,préstamos,pero,está,yendo,a,ver,si,le,apoyan,los,programas,mediante,donacionesosea,a,dar,pena,y,ped,,,,,,,,,,,,,,
es,para,disimular,ya,está,todo,consolidado,ya,compraron,el,cargo,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,paz,y,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
