comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Paz y Lara presidente del bolivia no queríamos extranjeros,70,65,80,10,10,10,78.5,-1
Sigue participando...bruto quiroga!!!,80,75,85,10,10,10,83.75,-1
Huevón el alto no lo necesita...🫵🫵,80,75,85,10,10,10,83.75,-1
Faltaría que quiera alquilar ese vende patria,85,80,90,10,10,10,86.75,-1
Tan viejo espero sea su último intento de ser presidente...,15,10,55,85,80,80,21.0,1
BIEN A SEGUIR ADELANTE TUTO PRESIDENTE HASTA EL TRIUNFO,10,5,50,85,80,80,18.0,1
Sabemos sus verdaderas intenciones,15,10,50,80,75,75,22.25,1
Tutoooo presidente ❤️💛💚,10,5,50,85,80,80,18.0,1
Me decepciona que diga el Alto y que hay de las otras ciudades?... ,15,10,55,80,75,75,23.0,1
Rodrigo presidente!!!,10,5,50,85,80,80,18.0,1
Paz propuso eso y más.....y este Kiko o tuto se copia...,15,10,55,80,75,75,23.0,1
Petrogas privatizar las empresas litio regalar a otros gobiernos el agua etc etc,85,80,90,10,10,10,86.75,-1
Dios bendiga a mi futuro. Presidente tuto,10,5,50,85,80,80,18.0,1
El Alto se va a beneficiar como NUNCA va ser una Zona Franca ygual q Iquique,15,10,55,80,75,75,23.0,1
Pregunta sera para Red Uno ¿Es propaganda o noticia?,15,10,50,80,75,75,22.25,1
Chau tuto,65,60,75,20,15,15,72.5,-1
Esa propuesta por lo menos está muy bien por parte Alianza Libre junto al binomio Tuto Quiroga Ramírez y JP Velasco...,15,10,55,80,75,75,23.0,1
Es con Tuto y JP! Esa es la dupla que me da confianza por este país,10,5,50,85,80,80,18.0,1
Dios lo bendiga infinitamente señor Tuto Quiroga,10,5,50,85,80,80,18.0,1
Este cabrn ya me emput cuanto paga para salir en los medios de comunicacion,80,75,85,10,10,10,83.75,-1
"Es es un excelente proyecto, ojalá se haga realidad.",10,5,50,85,80,80,18.0,1
A esta rrata los únicos que lo creen sus cuentos son los periodistas y medios televisivos,80,75,85,10,10,10,83.75,-1
Tuto presidente,10,5,50,85,80,80,18.0,1
La 16de julio 😅😅😅 tuto es un pajpaku,70,65,80,15,10,10,77.5,-1
TUTO PRESIDENTE 🇧🇴 👍 💪,10,5,50,85,80,80,18.0,1
TUTO PRECIDENTE,10,5,50,85,80,80,18.0,1
Nunca en la vida votaría por un tipo que jamás en su vida supo crear un sustento para su propia economía...,85,80,90,10,10,10,86.75,-1
Llegado el momento este tipo no cumplira,75,70,85,10,10,10,81.5,-1
Todo es bla bla de este Kiko con tal de obtener votos,70,65,80,15,10,10,77.5,-1
"Este gringuin Kiquin,se olvidara de el Alto una ves q,sea presidente",80,75,85,10,10,10,83.75,-1
Corrupto,85,80,90,10,10,10,86.75,-1
Todos los Larilovers por favor informense da vergüenza ajena...,70,65,80,15,10,10,77.5,-1
A esta rrata solo les creen los periodistas,80,75,85,10,10,10,83.75,-1
Todo puede prometer menos cumplir y trabajar ese bende patria no trabaja bendio ypfb de esa empresa resibe aora que bendera para su renta,85,80,90,10,10,10,86.75,-1
Las macanas que hablan estos politicos brutos.,80,75,85,10,10,10,83.75,-1
Cuanto vasa cobrar x litro de agua vende patria,75,70,85,15,10,10,80.5,-1
Corrupto,85,80,90,10,10,10,86.75,-1
Ojalá sea jurado para anular los votos de lara y paz,75,70,85,15,10,10,80.5,-1
Ya comienza las divisiones,65,60,75,20,15,15,72.5,-1
Y el Beni ... Se nota que solo le interesan los votos...,70,65,80,15,10,10,77.5,-1
Vamos con paz y capitán lara,10,5,50,85,80,80,18.0,1
Red uno es de kewa,65,60,75,20,15,15,72.5,-1
Bolivia despierta luchen por sus hijos y familia 🙏🙏,10,5,50,85,80,80,18.0,1
Tuto Presidente,10,5,50,85,80,80,18.0,1
Para este Bruto El Alto es campo o provincia,75,70,85,15,10,10,80.5,-1
Hay miedo😁,70,65,80,15,10,10,77.5,-1
De gana propone y nunca va cumplir este astuto,75,70,85,15,10,10,80.5,-1
Que ba ser,65,60,75,20,15,15,72.5,-1
Prometen de todo para entrar al gobierno... Ladrones,85,80,90,10,10,10,86.75,-1
TUTO NUESTRO FUTURO PRESIDENTE DE TODOS LOS BOLIVIANOS VICE JP,10,5,50,85,80,80,18.0,1
Seguro el alto nomás existe en bolivia...,75,70,85,15,10,10,80.5,-1
Tutin lo primero es completar la doble vía oriente occidente...,10,5,50,85,80,80,18.0,1
POLOS DE DESARROLLO. LO QUE MAS NECESITAMOS,10,5,50,85,80,80,18.0,1
"cuando son candidatos prometen de todo, solo recuerden cuando fue candidato a vice en 2000,...",10,5,50,85,80,80,18.0,1
Pura boca,70,65,80,15,10,10,77.5,-1
NO AHORA EL 2026,10,5,50,85,80,80,18.0,1
ES CON TUTO Y JP 🇧🇴,10,5,50,85,80,80,18.0,1
Si todos respaldamos con el apoyo total Rodrigo Paz y Capitan Lara ganador,10,5,50,85,80,80,18.0,1
Mentira es,80,75,85,10,10,10,83.75,-1
Mamón,80,75,85,10,10,10,83.75,-1
Kiko. Prometes cosas q nunca. Cumplirás.,85,80,90,10,10,10,86.75,-1
"Mentira, el plan es robar",85,80,90,10,10,10,86.75,-1
TUTO PRESIDENTE VIVA BOLIVIA 🇧🇴,10,5,50,85,80,80,18.0,1
Este tipo despues de masacrar al alto ahora pide apoyo ..Que cosas no ?,75,70,85,15,10,10,80.5,-1
SOLO CON TUTO EL ALTO MODERNO,10,5,50,85,80,80,18.0,1
Tuto presidente,10,5,50,85,80,80,18.0,1
Se ba ala mda.este rata a chonchocoro,85,80,90,10,10,10,86.75,-1
Todo lo que diga la derecha es mentira,75,70,85,15,10,10,80.5,-1
Tuto =miseria hambre saqueo asesinato más pobreza,85,80,90,10,10,10,86.75,-1
Tuto Presidente,10,5,50,85,80,80,18.0,1
El 2050,10,5,50,85,80,80,18.0,1
Tuto -8% según las últimas encuestas,15,10,55,80,75,75,23.0,1
"Por que no trabaja, no conoce El Alto ni a su gente, pronto le suspenderán su renta de 27 000Bs. E irá a prestarse de Evo...",85,80,90,10,10,10,86.75,-1
Nosotros y toda la gente bamos apoyar a Paz y Lara,10,5,50,85,80,80,18.0,1
"Éste entra y vende todo, dejando a miles de trabajadores desempleados y a sus familias en la pobreza",85,80,90,10,10,10,86.75,-1
Eso es mentira pura,70,65,80,15,10,10,77.5,-1
Nació en España,10,5,50,85,80,80,18.0,1
Binomio ganador Paz y Lara,10,5,50,85,80,80,18.0,1
Dijo cada uno será propietario de su puesto haber si hará cumplir en la feria en el Alto,15,10,55,80,75,75,23.0,1
Primero quiere privatizar todas las empresas ahora propone esto algo no está cuadrando bien tuto eres muy demagogo,85,80,90,10,10,10,86.75,-1
Sueña ganar el extranjero .no totaria ni loca para este tipo,70,65,80,15,10,10,77.5,-1
Este sonso ni para el mismo no puede crear la economia el no tiene ni un negocio empresa o trabajo...,85,80,90,10,10,10,86.75,-1
TUTO Y AÑEZ ASESIMOS,85,80,90,10,10,10,86.75,-1
"SIMPLEMENTE UNA DIVERSION ESCUCHAR LAS OFERTAS ELECTORALES DE TUTO, COMO UNA DESESPERACION ÚNICA, DE UN PULVERIZANTE VICTORIA DE RODRIGO PAZ-LARA.",15,10,55,80,75,75,23.0,1
Fuerza compañero que yo votaré por tuto Quiroga presidente,10,5,50,85,80,80,18.0,1
Tuto presidente...!!!,10,5,50,85,80,80,18.0,1
TUTOOOOOO PRESIDENTE,10,5,50,85,80,80,18.0,1
Tuto eres nuestro presidente,10,5,50,85,80,80,18.0,1
No tienes apoyo capitán Lara te ganará,65,60,75,20,15,15,72.5,-1
Tuto no le interesa bolivia x q no trabaja en nuestro pais es un jipi bagavundo q trata de gobernar es un espia de EEUU cm no va ser gobierno asi traquilos,85,80,90,10,10,10,86.75,-1
Cerdo demagogo,85,80,90,10,10,10,86.75,-1
Demagogia más demagogia,80,75,85,10,10,10,83.75,-1
Tuto presidente 20 años sin futuro con mucha pobreza con el mas y queremos seguir apoyando a paz y lara,15,10,55,80,75,75,23.0,1
Tuto Presidente,10,5,50,85,80,80,18.0,1
Por eso se necesita de una planificación estatal de todas las necesidades y potenciales de la población...,15,10,55,80,75,75,23.0,1
Voto INTELIGENTE!! TUTO PRESIDENTE!!,10,5,50,85,80,80,18.0,1
Tuto presidente,10,5,50,85,80,80,18.0,1
Tuto presidente,10,5,50,85,80,80,18.0,1
Opa ms opa sale jp ms opa tanvien 😄,10,5,50,85,80,80,18.0,1
todo promete miércoles,70,65,80,15,10,10,77.5,-1
